Born	City	Pr/St	Cntry	Nat	Ht	Wt	DftYr	DftRd	Ovrl	Hand	NHLid	Last Name	First Name	Position	Team	GP	G	A	A1	A2	PTS	+/-	E+/-	PIM	Shifts	TOI	TOI	TOI/GP	TOI/GP	TOI%	IPP%	SH%	SV%	PDO	F/60	A/60	Pct%	Diff	Diff/60	iCF	iCF	iFF	iSF	iSF	iSF	ixG	iSCF	iRB	iRS	iDS	sDist	sDist	Pass	iHF	iHF	iHA	iHDf	iMiss	iGVA	iTKA	iBLK	iGVA	iTKA	iBLK	BLK%	iFOW	iFOL	iFOW	iFOL	FO%	%FOT	dzFOW	dzFOL	nzFOW	nzFOL	ozFOW	ozFOL	FOW.Up	FOL.Up	FOW.Down	FOL.Down	FOW.Close	FOL.Close	OTG	1G	GWG	ENG	PSG	PSA	G.Bkhd	G.Dflct	G.Slap	G.Snap	G.Tip	G.Wrap	G.Wrst	CBar 	Post	Over	Wide	S.Bkhd	S.Dflct	S.Slap	S.Snap	S.Tip	S.Wrap	S.Wrst	iPenT	iPenD	iPENT	iPEND	iPenDf	NPD	Min	Maj	Match	Misc	Game	CF	CA	FF	FA	SF	SA	xGF	xGA	SCF	SCA	GF	GA	RBF	RBA	RSF	RSA	DSF	DSA	FOW	FOL	HF	HA	GVA	TKA	PENT	PEND	OPS	DPS	PS	SOS	SOG	SOGDG	OTOI	Grit	DAP	Pace	GS	GS/G	1st	2nd	3rd	MGL	Injuries	CHIP	NMC	Status	Salary	Cap Hit
1993-03-21	Zurich		CHE	CHE	70	188	2013	3	86	L	8477413	Andrighetto	Sven	RW	COL/MTL	46	7	17	9	8	24	1	1,3	12	845	38550	641,5	13,97	13,96	26,4%	85,7%	8,8%	,931	1019	2,62	1,87	58,3%	8	0,75	130	130	91	68	68	68	5,9	16	7	10	17	29,9	28,2	194,4	40	40	47	-7	23	9	19	22	9	19	22	4,2%	7	3	7	3	70,0%	1,6%	0	0	1	1	6	2	5	0	1	1	5	2	0	0	0	0	0	0	1	0	1	0	1	1	3	0	1	2	20	5	0	7	7	2	1	46	6	7	6	5	1	0,6	6	0	0	0	0	613	528	441	386	318	289	26,8	22,9	84	71	28	20	27	22	35	24	62	46	338	287	183	232	90	73	26	27	1,5	0,9	2,4				1792,07	74	9,8	106,7	22,3	0,48	0	1	0	2	Shoulder	$15 853,66		RFA	$650 000,00	$650 000,00
1988-05-24	Yaroslavl		RUS	RUS	76	198	2006	2	54	L	8473573	Anisimov	Artem	C/LW	CHI	64	22	23	12	11	45	9	-2,7	30	1401	68529	1138,6	17,85	17,83	30,9%	66,2%	11,8%	,920	1038	3,58	2,42	59,6%	22	1,16	191	191	140	105	105	105	16,0	68	9	10	19	20,7	20,6	232,1	18	18	73	-55	35	16	35	27	16	35	27	2,8%	416	506	416	506	45,1%	88,1%	86	110	151	188	179	208	91	131	164	191	282	336	1	4	7	1	0	0	1	1	0	2	5	0	13	0	2	7	26	17	1	1	10	14	2	60	15	9	15	9	-6	-0,2	15	0	0	0	0	1112	977	793	745	575	576	52,1	51,5	173	177	68	46	19	47	48	56	67	103	459	588	151	401	163	129	60	54	4,2	1,4	5,6	1	0	0	2544,57	75	3,5	110,1	39,1	0,61	2	4	2	18	Upper body, Lower body	$998 780,49	NMC	UFA	$5 750 000,00	$4 550 000,00
1992-10-06	Regina	SK	CAN	CAN	70	176	2011	6	174	R	8476326	Archibald	Josh	RW	PIT	10	3	0	0	0	3	3	-0,6	4	163	6519	108,6	10,87	10,87	20,0%	50,0%	12,8%	,949	1077	3,31	1,66	66,7%	3	1,66	24	24	20	11	11	11	2,1	6	1	2	3	28,1	24,8	0,0	28	28	13	15	9	2	0	2	2	0	2	1,7%	0	1	0	1	0,0%	1,1%	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	9	2	0	1	3	0	0	5	2	2	2	2	0	0,0	2	0	0	0	0	89	115	68	84	47	59	5,8	6,0	20	23	6	3	5	7	4	6	9	13	42	53	82	65	18	4	3	3	0,4	0,2	0,6				434,58	34	14,0	112,7	2,5	0,25	0	1	0					RFA	$667 500,00	$659 167,00
1993-05-31	Pori		FIN	FIN	75	205	2011	1	16	R	8476469	Armia	Joel	RW	WPG	57	10	9	6	3	19	-8	-2,0	20	1226	51769	847,6	15,13	15,05	26,9%	67,9%	7,2%	,913	985	1,98	3,11	38,9%	-16	-1,13	191	195	140	108	111	111	12,1	42	9	26	35	28,2	25,8	158,6	68	66	48	18	32	19	42	30	17	39	28	3,2%	3	4	3	4	42,9%	0,9%	0	0	2	3	1	1	2	0	0	3	1	1	0	0	1	0	0	0	0	0	0	1	1	1	7	1	4	3	24	12	3	5	9	7	5	70	10	14	10	13	4	3,5	10	0	0	0	0	682	871	517	655	387	505	34,9	43,7	118	136	28	44	29	42	51	43	80	85	414	392	391	284	117	98	47	41	0,8	0,4	1,2				2303,64	118	11,0	109,9	17,2	0,31	0	3	2	24	Lower body	$270 731,71		RFA	$875 000,00	$925 000,00
1994-08-06	London	ON	CAN	CAN	74	188	2012	4	110	L	8476960	Athanasiou	Andreas	C	DET	64	18	11	5	6	29	-7	-6,6	28	1204	51703	847,1	13,47	13,39	23,9%	72,5%	10,0%	,899	998	2,83	3,05	48,2%	-3	-0,21	231	236	177	117	120	120	11,8	39	5	7	12	27,3	26,3	104,7	30	30	60	-30	61	19	17	21	18	17	21	2,8%	37	46	37	45	44,6%	10,6%	9	7	15	23	13	16	13	18	9	12	23	33	2	1	3	0	0	0	1	1	2	3	0	0	11	1	2	7	51	15	2	9	16	3	2	73	10	14	10	12	4	3,9	8	2	0	0	0	758	753	590	588	402	425	37,6	35,9	125	114	40	43	19	21	27	32	46	53	433	340	233	315	131	58	52	50	2,8	0,8	3,6	6	1	1	2690,94	81	5,9	107,0	25,6	0,41	4	2	2	15	Knee, Upper body, Undisclosed	$114 938,96		RFA	$575 000,00	$628 333,00
1993-04-08	Skellefteå		SWE	SWE	69	180	2014	4	112	R	8478042	Arvidsson	Viktor	LW/RW	NSH	80	31	30	14	16	61	16	2,7	28	1906	82343	1366,7	17,15	17,13	29,1%	71,8%	10,3%	,905	1008	3,73	2,81	57,0%	21	0,92	411	411	340	245	246	246	22,9	72	14	30	44	29,4	28,3	249,9	23	23	156	-133	95	26	37	45	26	37	45	3,8%	4	12	4	12	25,0%	1,2%	0	0	0	2	4	10	0	3	3	5	3	10	1	7	6	2	0	0	1	1	3	2	5	0	19	0	6	10	79	24	2	48	17	12	4	139	14	27	14	22	13	7,8	14	0	0	0	0	1544	1189	1173	932	828	677	71,4	58,6	220	184	85	64	55	42	69	49	124	91	756	622	316	471	227	173	69	91	6,5	2,1	8,7	1	0	0	3322,92	96	4,3	120,0	77,4	0,97	5	6	3	2	Upper body	$15 406,51		RFA	$640 000,00	$631 667,00
1989-06-05	Riverside	CT	USA	USA	68	182	2008	6	157	R	8474715	Atkinson	Cam	RW	CBJ	82	35	27	18	9	62	13	-2,3	22	1966	88972	1474,3	18,08	18,05	30,1%	69,7%	11,0%	,937	1047	3,62	1,99	64,5%	40	1,63	400	399	303	240	240	240	25,3	96	19	15	34	29,2	27,0	286,6	33	33	41	-8	63	21	36	34	21	36	34	2,3%	2	1	2	1	66,7%	0,2%	2	1	0	0	0	0	0	0	1	0	1	1	3	8	9	2	0	1	1	0	3	13	2	0	16	0	2	4	57	25	3	21	68	6	3	114	11	9	11	7	-2	0,3	11	0	0	0	0	1509	1453	1097	1097	808	778	83,4	75,5	306	255	89	49	79	68	49	47	128	115	856	856	542	348	138	147	71	71	6,8	2	8,9	4	2	1	3424,44	89	6,3	120,5	61,7	0,75	6	5	2					UFA	$3 500 000,00	$3 500 000,00
1993-06-16	Bobcaygeon	ON	CAN	CAN	76	230	2012	7	193	L	8477041	Austin	Brady	D	BUF	5	0	0	0	0	0	0	0,7	4	126	4827	80,4	16,08	16,09	30,1%	0,0%	5,7%	,933	990	2,24	2,24	50,0%	0	0,00	10	10	9	8	8	8	0,1	0	0	1	1	57,8	57,7	0,0	6	6	8	-2	1	2	1	0	2	1	0	0,0%	0	0	0	0	0,0%	0,0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	6	2	0	2	0	-2	-1,6	2	0	0	0	0	78	70	66	57	53	45	4,1	3,9	15	12	3	3	2	3	5	5	7	8	32	39	35	25	11	6	5	1	-0,1	0,2	0,1				186,86	10	3,5	110,4	0,9	0,17								RFA	$635 000,00	$626 667,00
1989-07-27	Ivry-sur-Seine		FRA	FRA	71	191				L	8479483	Auvitu	Yohann	D/LW	N.J	25	2	2	1	1	4	1	0,1	2	505	23405	389,3	15,60	15,59	28,9%	30,8%	6,1%	,944	1005	2,00	1,54	56,5%	3	0,46	87	87	67	54	54	54	1,7	0	0	5	5	53,2	51,8	23,4	20	20	12	8	13	13	7	9	13	7	9	3,1%	0	0	0	0	0,0%	0,0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	11	1	0	19	16	0	1	17	1	0	1	0	-1	1,3	1	0	0	0	0	366	294	282	240	214	178	16,1	14,2	46	43	13	10	6	9	10	16	16	25	177	146	130	169	58	40	26	23	0,2	1,1	1,3				958,64	31	27,0	101,7	7,9	0,31	0	0	1	10	Upper body, Lower body	$96 646,34		RFA	$792 500,00	$792 500,00
1984-05-01	Minneapolis	MN	USA	USA	75	221	2003	2	62	R	8470655	Backes	David	RW/C	BOS	74	17	21	12	9	38	2	10,0	69	1571	76007	1264,1	17,05	17,08	29,9%	58,5%	8,4%	,897	981	3,09	2,52	55,1%	12	0,57	286	285	241	175	175	175	17,7	65	10	14	24	33,9	30,5	270,3	226	225	99	126	66	35	28	47	35	28	47	4,8%	60	63	60	63	48,8%	9,4%	20	22	12	19	28	22	15	16	19	30	38	31	0	4	2	2	0	0	0	2	2	5	2	0	6	0	1	5	60	14	3	10	36	16	0	96	26	19	24	17	-7	-0,1	22	3	0	1	0	1431	972	1083	717	776	517	63,7	40,7	199	126	65	53	38	21	46	44	84	65	730	575	473	504	204	153	83	70	2,7	1,7	4,5	1	0	0	2968,55	345	11,5	114,1	52,2	0,71	0	4	4	8	Elbow, Concussion	$585 365,85	NMC	UFA	$8 000 000,00	$6 000 000,00
1989-03-17	Vasteras		SWE	SWE	73	199	2007	1	24	L	8474150	Backlund	Mikael	C	CGY	81	22	31	21	10	53	9	5,6	36	1914	85565	1424,4	17,60	17,60	29,6%	67,1%	10,2%	,896	997	3,33	2,82	54,1%	12	0,51	338	338	272	197	197	197	20,4	73	18	31	49	29,6	28,3	315,7	55	55	38	17	75	49	57	41	49	57	41	3,3%	711	768	711	768	48,1%	95,9%	310	381	229	226	172	161	212	255	262	246	420	475	2	4	7	0	0	0	2	0	1	1	4	0	14	1	5	11	58	17	4	18	27	15	1	115	14	9	12	6	-5	-6,1	13	0	0	0	1	1427	1226	1079	917	778	643	70,9	66,4	224	238	79	67	57	45	87	63	144	108	737	806	337	339	219	182	99	84	4,1	2,1	6,2	1	0	0	3392,51	132	8,6	111,8	61,5	0,76	5	5	2					UFA	$3 575 000,00	$3 575 000,00
1987-11-23	Gävle		SWE	SWE	73	213	2006	1	4	L	8473563	Backstrom	Nicklas	C	WSH	82	23	63	32	31	86	17	1,3	38	1842	89839	1495,3	18,27	18,25	30,9%	84,3%	11,9%	,923	1042	4,09	1,97	67,5%	53	2,13	268	268	218	161	162	162	17,0	64	14	16	30	30,6	29,3	454,6	45	45	71	-26	57	54	61	33	54	61	33	2,7%	685	648	685	648	51,4%	81,5%	170	205	247	213	268	230	210	169	237	243	417	404	2	5	5	1	0	0	3	1	1	4	2	0	12	0	5	8	44	12	4	14	34	12	0	86	19	11	19	8	-8	-4,1	19	0	0	0	0	1626	1237	1254	939	858	635	85,0	60,8	279	217	102	49	56	49	71	82	127	131	846	790	493	435	267	204	90	73	7,8	2,1	9,9	5	1	0	3337,35	116	5,6	114,9	74,5	0,91	6	7	4				M-NTC	UFA	$7 000 000,00	$6 700 000,00
1992-10-05	Bern		CHE	CHE	71	192	2011	1	13	L	8476466	Baertschi	Sven	LW	VAN	68	18	17	8	9	35	-6	-4,0	8	1461	64773	1077,0	15,88	15,87	28,6%	67,3%	9,9%	,905	1004	2,90	2,73	51,5%	3	0,17	185	185	149	114	114	114	13,6	53	11	6	17	24,1	23,4	134,2	52	52	78	-26	35	23	39	29	23	39	29	3,1%	1	0	1	0	100,0%	0,1%	0	0	0	0	1	0	1	0	0	0	1	0	0	4	5	0	0	0	4	2	0	0	1	0	11	0	0	4	31	12	10	2	10	4	0	76	3	12	6	9	9	3,6	3	0	0	0	0	970	945	734	715	527	518	51,9	45,2	180	144	52	49	36	33	40	47	76	80	574	533	307	404	141	114	51	38	2,9	1,2	4,1	2	0	0	2692,52	89	30,3	106,7	28,5	0,42	2	1	2	13	Foot, Concussion, Upper body	$293 292,68		RFA	$1 700 000,00	$1 850 000,00
1991-10-27	Anchorage	AK	USA	USA	75	195				R	8478376	Bailey	Casey	RW/C	OTT	7	0	0	0	0	0	-1	1,9	0	78	3358	56,0	8,00	8,00	16,5%	0,0%	0,0%	,941	941	0,00	1,07	0,0%	-1	-1,07	12	12	10	10	10	10	0,5	1	0	0	0	37,3	31,3	0,0	4	4	8	-4	0	0	1	4	0	1	4	8,3%	0	1	0	1	0,0%	2,7%	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	5	0	1	0	1	1	1,0	0	0	0	0	0	46	48	40	28	34	17	1,9	1,1	6	1	0	1	0	0	3	2	3	2	15	22	35	30	4	7	3	2	-0,2	0	-0,1				282,4	8	0,0	100,7	0,8	0,12								UFA	$874 125,00	$874 125,00
1989-10-02	Bowmanville	ON	CAN	CAN	73	210	2008	1	9	L	8474573	Bailey	Josh	RW/LW/C	NYI	82	13	43	30	13	56	5	0,7	12	1840	90388	1503,0	18,37	18,36	31,8%	62,2%	10,4%	,902	1006	3,59	2,67	57,3%	23	0,92	304	304	229	173	173	173	19,3	75	16	20	36	30,8	26,2	479,7	37	37	71	-34	56	61	54	53	61	54	53	4,0%	8	7	8	7	53,3%	1,0%	3	3	2	2	3	2	6	3	1	4	2	3	1	3	1	0	0	0	0	0	3	2	4	0	4	0	4	9	43	12	4	20	27	16	0	94	5	11	6	9	6	4,7	5	0	0	0	0	1615	1316	1204	948	862	681	84,7	62,3	297	229	90	67	56	30	81	53	137	83	765	756	449	443	281	192	74	92	3,6	1,6	5,2	2	0	0	3229,5	102	18,2	117,0	56,3	0,69	1	3	1					UFA	$3 700 000,00	$3 300 000,00
1995-07-01	Buffalo	NY	USA	USA	75	214	2013	2	52	R	8477473	Bailey	Justin	RW	BUF	32	2	2	1	1	4	0	-3,7	4	468	20414	340,1	10,63	10,63	21,4%	36,4%	7,2%	,952	1024	1,94	1,76	52,4%	1	0,18	75	75	49	36	36	36	2,7	10	3	4	7	32,9	33,8	25,3	27	27	23	4	13	10	8	14	10	8	14	3,8%	0	1	0	1	0,0%	0,3%	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	11	7	1	2	3	1	0	22	2	9	2	6	7	2,0	2	0	0	0	0	282	370	212	275	152	208	11,3	15,4	37	52	11	10	9	17	15	10	24	27	169	143	137	132	41	37	21	15	-0,3	0,4	0,1				1246,52	45	17,5	115,0	2,4	0,08				1	Foot	$8 170,73		RFA	$692 500,00	$670 000,00
1995-08-04	Ottawa	ON	CAN	CAN	73	206	2013	3	69	R	8477491	Baptiste	Nicholas	RW	BUF	14	3	1	0	1	4	1	-1,4	6	190	7761	129,3	9,23	9,24	17,8%	66,7%	10,9%	,960	1069	2,79	1,39	66,7%	3	1,39	21	21	21	17	16	17	1,4	7	1	0	1	27,8	29,0	0,0	12	12	8	4	4	1	1	1	1	1	1	0,8%	1	2	1	2	33,3%	2,2%	0	0	0	1	1	1	0	0	1	2	1	1	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	4	1	0	2	0	1	0	13	3	0	5	0	-3	-3,9	3	0	0	0	0	106	118	77	97	55	75	3,9	4,9	15	18	6	3	3	3	5	3	8	6	67	69	68	56	11	5	9	5	0,4	0,2	0,6				597,35	19	4,3	104,0	2,5	0,18	0	1	0					RFA	$740 000,00	$718 333,00
1995-12-14	Moscow		RUS	RUS	72	180	2014	2	33	L	8477964	Barbashev	Ivan	C	STL	30	5	7	4	3	12	5	2,4	2	489	21224	353,7	11,78	11,79	22,1%	75,0%	9,5%	,943	1038	2,71	1,53	64,0%	7	1,19	41	41	30	20	20	20	2,9	12	3	4	7	22,9	22,2	76,6	34	34	35	-1	10	3	9	14	3	9	14	4,7%	83	124	83	124	40,1%	79,9%	24	43	31	48	28	33	24	46	32	36	49	85	0	2	1	0	0	0	0	0	0	1	1	0	3	0	1	0	9	2	2	0	2	3	0	11	1	5	1	5	4	3,3	1	0	0	0	0	318	296	236	218	168	158	14,4	10,8	46	36	16	9	13	9	21	10	34	19	102	157	157	172	25	35	16	17	0,9	0,6	1,5				1249,39	50	43,0	104,2	10,4	0,35	0	1	1					RFA	$742 500,00	$741 667,00
