#,DOB,Birth City,S/P,Ctry,HT,Wt,S,Draft,Round,Overall,Rk,Age,BTN Code,First Name,Last Name,End Team,Teams,OGP,Pos,GP,G,A,PTS,+/-,Sh,Miss,Blkd,Sh%,CoSH%,Dist,Wrist,Snap,Slap,TOI,TOI/G,Shifts,Sh/G,TOI/Sh,Passes,Pa/60,IGP,IAP,IPP,FOW,FOL,FO%,%Tm,HitA,HitF,BkS,MsS,GvA,TkA,HA/60,HF/60,B/60,M/60,G/60,T/60,PIM,Minor,Major,Misc,G Misc,Match,NetPen,SOS,SOG,SO%,SOGDG,1G,OTGP,OTG,OTA,GWG,ENG,PSG,PST,PS%,DIA,OPS,DPS,PS,PS/G,PS/60,OGIT,DIT,RPM,OGVT,DGVT,SGVT,GVT,GVT/G,GVT/60,Full,LTIR,SOIR,Ginj,Injury,Cap Cost,Bonuses,GVS
55,Aug 21 '80,Kingston,ON,CAN,77,224,L,1998,1,4,,33,BRYANALLEN,Bryan,Allen,ANA,,,D,68,0,10,10,20,60,35,44,0.0%,0.0%,59.4,23,5,31,1192.5,17.5,1642,24.1,0.73,0,0.00,0.0%,8.8%,8.8%,0,0,0.0%,0,134,121,118,35,26,8,6.7,6.1,5.9,1.8,1.3,0.4,75,25,5,0,0,0,-12.2,,, ,,0,15,0,0,0,0,0,0,0%,4,-0.4,3.3,2.9,0.04,0.15,19.7,30.6,2.9,-1,5,0,4,0.06,0.20,,,,10,"Lower body, Undisclosed, Upper body",3500000,,-2.1
37,Jan 31 '90,Chicago,IL,USA,73,210,L,,,,Y,24,CONORALLEN,Conor,Allen,NYR,,,D,3,0,0,0,-1,2,1,4,0.0%,0.0%,53.0,2,0,0,43.3,14.4,58,19.3,0.75,0,0.00,0.0%,0.0%,0.0%,0,0,0.0%,0,5,1,1,1,0,0,6.9,1.4,1.4,1.4,0.0,0.0,0,0,0,0,0,0,2.2,,, ,,0,1,0,0,0,0,0,0,0%,3,-0.1,0,0,0.00,0.00,0.4,0.4,-1,-0.1,-0.1,0,-0.2,-0.07,-0.28,,,,,,1775000,,-3.3
53,Feb 27 '91,Jönköping,,SWE,71,174,L,2009,7,210,Y,22,ADAMALMQVIST,Adam,Almquist,DET,,,D,2,1,0,1,-1,2,0,1,50.0%,33.3%,24.5,0,2,0,34.4,17.2,50,25.0,0.69,0,0.00,50.0%,0.0%,50.0%,0,0,0.0%,0,2,1,0,0,0,0,3.5,1.7,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.2,,, ,,0,1,0,0,0,0,0,0,0%,4,0.2,0,0.2,0.10,0.35,0.1,0.1,0,0.5,0,0,0.5,0.25,0.87,,,,,,694167,,-0.7
27,Sep 24 '88,Burnaby,BC,CAN,74,217,L,2007,1,5,,25,KARLALZNER,Karl,Alzner,WSH,,,D,82,2,16,18,-7,95,48,58,2.1%,1.0%,53.7,48,17,28,1683.6,20.5,2004,24.4,0.84,53,1.88,1.8%,14.7%,16.5%,0,0,0.0%,0,130,73,158,48,33,28,4.6,2.6,5.6,1.7,1.2,1.0,26,13,0,0,0,0,7.3,,, ,,0,28,0,0,1,0,0,0,0%,6,0.1,2.9,3,0.04,0.11,25.9,38.2,-6.1,0.6,3,0,3.6,0.04,0.13,,,,,,2800000,,-1.3
18,Feb 05 '89,Munkedal,,SWE,74,206,L,2007,3,88,,24,JOAKIMANDERSSON,Joakim,Andersson,DET,,,C,65,8,9,17,-11,78,24,17,10.3%,6.7%,33.0,43,13,4,898.8,13.8,1295,19.9,0.69,77,5.13,7.0%,7.9%,14.9%,345,326,51.4%,17.3,70,26,25,24,27,18,4.7,1.7,1.7,1.6,1.8,1.2,12,6,0,0,0,0,-0.6,,, ,,0,18,0,0,1,0,0,0,0%,3,0.3,0.5,0.8,0.01,0.05,16.4,21.9,-11.7,0,2.4,0,2.4,0.04,0.16,,,,12,"Lower body, Finger",732500,,1.1
42,May 24 '88,Yaroslavl,,RUS,76,198,L,2006,2,54,,25,ARTEMANISIMOV,Artem,Anisimov,CBJ,,,C,81,22,17,39,-2,162,73,74,13.6%,7.1%,24.9,85,21,5,1343.8,16.6,1789,22.1,0.75,91,4.06,16.8%,13.0%,29.8%,476,489,49.3%,20.2,110,31,55,73,19,51,4.9,1.4,2.5,3.3,0.8,2.3,20,10,0,0,0,0,3.2,3,1,33%,0,4,14,0,1,5,0,0,0,0%,9,3.1,1.4,4.5,0.06,0.20,27.5,32.1,-5.4,5,3.5,0,8.5,0.10,0.38,,,,,,3283333,,2.7
49,Feb 09 '90,Newmarket,ON,CAN,75,210,L,,,,Y,23,DARRENARCHIBALD,Darren,Archibald,VAN,,,RW/LW,16,1,2,3,1,11,4,5,9.1%,5.0%,41.9,8,0,1,124.8,7.8,199,12.4,0.63,8,3.85,2.0%,4.0%,6.0%,0,1,0.0%,0.1,25,30,9,4,1,2,12.0,14.4,4.3,1.9,0.5,1.0,0,0,0,0,0,0,3.8,,, ,,0,4,0,0,0,0,0,0,0%,5,0.1,0.2,0.3,0.02,0.14,3.2,3.1,1.6,-0.2,0.5,0,0.3,0.02,0.14,,,,,,660000,,-0.9
26,Aug 12 '88,Milford,CT,USA,68,166,R,,,,Y,25,MARKARCOBELLO,Mark,Arcobello,EDM,,,C/RW,41,4,14,18,-7,70,29,28,5.7%,3.1%,30.5,32,23,8,618.0,15.1,894,21.8,0.69,93,8.99,6.7%,23.3%,30.0%,206,198,51.0%,16.7,38,78,23,29,13,18,3.7,7.6,2.2,2.8,1.3,1.7,8,4,0,0,0,0,7.0,,, ,,0,9,1,0,1,0,0,0,0%,4,0.7,0.5,1.2,0.03,0.12,11.9,13.3,-0.8,1.6,1.2,0,2.8,0.07,0.27,,,,6,Ribs,600000,,1.7
46,May 13 '92,Boston,MA,USA,72,218,R,2010,4,108,Y,21,BILLARNOLD,Bill,Arnold,CGY,,,C,1,0,0,0,-1,0,1,0,0.0%,0.0%,31.0,0,0,0,13.6,13.6,16,16.0,0.85,0,0.00,0.0%,0.0%,0.0%,5,4,55.6%,20.4,2,1,0,1,0,0,8.8,4.4,0.0,4.4,0.0,0.0,0,0,0,0,0,0,0.0,,, ,,0,0,0,0,0,0,0,0,0%,4,0,0,-0.1,-0.10,-0.44,0.2,0.2,-0.9,-0.1,-0.1,0,-0.2,-0.20,-0.88,,,,,,900000,,-1.8
45,Apr 13 '78,Portage La Prairie,MB,CAN,71,210,R,1996,3,71,,35,ARRONASHAM,Arron,Asham,NYR,,,RW,6,0,0,0,-5,1,0,1,0.0%,0.0%,28.0,0,0,0,44.9,7.5,65,10.8,0.69,0,0.00,0.0%,0.0%,0.0%,0,0,0.0%,0,2,8,1,0,2,0,2.7,10.7,1.3,0.0,2.7,0.0,14,2,2,0,0,0,-2.1,,, ,,0,1,0,0,0,0,0,0,0%,3,-0.1,-0.2,-0.3,-0.05,-0.40,1.5,1.4,-5.2,-0.7,-0.3,0,-1,-0.17,-1.34,,,,,,1000000,,-2.8
37,Apr 01 '91,Winnipeg,MB,CAN,75,215,L,2009,1,29,Y,22,CARTERASHTON,Carter,Ashton,TOR,,,RW/LW,32,0,3,3,1,23,7,8,0.0%,0.0%,25.8,14,5,0,200.8,6.3,303,9.5,0.66,30,8.97,0.0%,4.1%,4.1%,12,11,52.2%,1,55,46,7,7,5,3,16.4,13.7,2.1,2.1,1.5,0.9,19,2,3,0,0,0,1.6,,, ,,0,8,0,0,0,0,0,0,0%,3,-0.2,0.2,0,0.00,0.00,3.4,3.3,1.3,-0.5,0.4,0,-0.1,0.00,-0.03,,,,9,"Hand, Knee, Lower body",1040000,,-1.9
13,Jun 05 '89,Riverside,CT,USA,68,174,R,2008,6,157,,24,CAMATKINSON,Cam,Atkinson,CBJ,,,RW,79,21,19,40,-4,216,68,70,9.7%,5.9%,27.0,123,27,23,1246.8,15.8,1635,20.7,0.76,160,7.70,11.9%,10.8%,22.7%,0,0,0.0%,0,64,55,38,68,20,29,3.1,2.6,1.8,3.3,1.0,1.4,18,8,0,0,0,0,2.4,5,2,40%,2,6,15,0,1,5,0,0,0,0%,6,3.4,1.2,4.6,0.06,0.22,27,22.2,-2.7,5.4,1.2,0.4,7,0.09,0.34,,,,,,1150000,,5.0
15,Nov 06 '78,Waltham,MA,USA,68,171,L,,,,,35,KEITHAUCOIN,Keith,Aucoin,STL,,,C,2,0,0,0,-3,1,0,0,0.0%,0.0%,0.0,0,0,0,26.6,13.3,35,17.5,0.76,0,0.00,0.0%,0.0%,0.0%,9,6,60.0%,13,0,0,0,0,1,1,0.0,0.0,0.0,0.0,2.3,2.3,0,0,0,0,0,0,0.0,,, ,,0,0,0,0,0,0,0,0,0%,3,-0.1,-0.1,-0.2,-0.10,-0.45,0.7,0.7,-3.3,-0.3,-0.2,0,-0.6,-0.30,-1.35,,,,,,625000,,-1.7
3,Jun 11 '89,Rouleau,SK,CAN,78,228,L,2007,4,116,,24,KEITHAULIE,Keith,Aulie,TBL,,,D,15,0,1,1,-3,6,2,10,0.0%,0.0%,51.9,1,0,5,147.4,9.8,204,13.6,0.72,0,0.00,0.0%,1.9%,1.9%,0,0,0.0%,0,22,17,15,2,1,0,9.0,6.9,6.1,0.8,0.4,0.0,9,2,1,0,0,0,0.7,,, ,,0,4,0,0,0,0,0,0,0%,5,-0.1,0,-0.1,-0.01,-0.04,2.5,2.8,-3.5,-0.2,-0.2,0,-0.4,-0.03,-0.16,,,,27,"Upper body, Foot",975000,,-2.1
42,May 01 '84,Minneapolis,MN,USA,75,221,R,2003,2,62,,29,DAVIDBACKES,David,Backes,STL,,,C/RW,74,27,30,57,14,165,67,43,16.4%,9.8%,31.1,93,19,16,1446.2,19.5,2025,27.4,0.71,134,5.54,25.2%,28.0%,53.3%,621,580,51.7%,27,88,273,56,67,22,32,3.7,11.3,2.3,2.8,0.9,1.3,119,37,1,4,0,0,-14.9,,, ,,6,18,1,0,5,3,0,0,0%,8,5.3,2.3,7.6,0.10,0.32,32,30.8,7,9.8,5.2,0,15,0.20,0.62,,,,8,"Upper body, Lower body, Undisclosed",4500000,,7.1
11,Mar 17 '89,Vasteras,,SWE,72,198,L,2007,1,24,,24,MIKAELBACKLUND,Mikael,Backlund,CGY,,,C,76,18,21,39,4,178,66,74,10.1%,5.7%,31.4,99,32,13,1408.3,18.5,1967,25.9,0.72,98,4.19,16.1%,18.8%,34.8%,628,694,47.5%,29.2,74,64,62,66,40,63,3.2,2.7,2.6,2.8,1.7,2.7,32,16,0,0,0,0,-1.0,2,0,0%,0,3,20,1,1,3,1,0,0,0%,7,2.4,2,4.4,0.06,0.19,27.8,27.5,11.7,3.9,4.6,-0.6,7.9,0.10,0.34,,,,5,Hand,1500000,,5.3
19,Nov 23 '87,Gävle,,SWE,73,208,L,2006,1,4,,26,NICKLASBACKSTROM,Nicklas,Backstrom,WSH,,,C,82,18,61,79,-20,196,74,66,9.2%,5.4%,32.8,114,39,17,1622.9,19.8,1911,23.3,0.85,186,6.88,18.8%,63.5%,82.3%,714,701,50.5%,28.1,116,89,54,74,24,54,4.3,3.3,2.0,2.7,0.9,2.0,54,27,0,0,0,0,-7.7,17,7,41%,4,2,28,0,1,1,0,0,0,0%,5,6.2,1,7.2,0.09,0.27,40.7,33.2,-9,11.9,0.1,1.4,13.5,0.16,0.50,,,,,,6700000,,1.7
47,Oct 05 '92,Bern,,CHE,71,190,L,2011,1,13,Y,21,SVENBAERTSCHI,Sven,Baertschi,CGY,,,LW,26,2,9,11,-4,30,10,16,6.7%,3.6%,26.0,15,5,7,366.9,14.1,509,19.6,0.72,30,4.91,4.1%,18.4%,22.4%,0,0,0.0%,0,30,22,19,10,13,9,4.9,3.6,3.1,1.6,2.1,1.5,6,2,0,0,0,0,3.4,2,0,0%,0,0,8,0,0,0,0,0,0,0%,3,0.4,0.3,0.7,0.03,0.11,8.2,6.9,-0.4,0.4,0.5,-0.6,0.4,0.02,0.07,,,,,,1425417,,-2.1
12,Oct 02 '89,Bowmanville,ON,CAN,73,194,L,2008,1,9,,24,JOSHBAILEY,Josh,Bailey,NYI,,,LW/C,77,8,30,38,-8,98,36,63,8.2%,4.1%,26.5,50,25,10,1219.6,15.8,1576,20.5,0.77,213,10.48,6.0%,22.6%,28.6%,113,115,49.6%,4.9,68,44,29,36,39,39,3.3,2.2,1.4,1.8,1.9,1.9,26,8,0,1,0,0,0.3,4,1,25%,1,2,23,0,0,1,0,0,0,0%,5,1.8,1,2.7,0.04,0.13,25.5,23.1,2.2,3.2,2.1,-0.2,5,0.06,0.25,,,,4,Upper body,3300000,,-0.8
2,Nov 26 '82,Baudette,MN,USA,71,199,L,2002,1,11,,31,KEITHBALLARD,Keith,Ballard,MIN,,,D,45,2,7,9,-7,29,15,34,6.9%,2.6%,49.4,17,4,7,612.5,13.6,903,20.1,0.68,31,3.02,3.4%,12.1%,15.5%,0,0,0.0%,0,49,58,37,15,18,7,4.8,5.7,3.6,1.5,1.8,0.7,37,11,3,0,0,0,1.8,,, ,,0,12,0,0,0,0,0,0,0%,2,0.4,0.8,1.3,0.03,0.13,15.9,16.4,-8.6,-0.3,1.3,0,1,0.02,0.10,,,,30,"Concussion, Groin, Cheek",1500000,,-1.6
8,Mar 23 '90,Montreal,QC,CAN,73,185,L,2008,6,152,Y,23,MARKBARBERIO,Mark,Barberio,TBL,,,D,49,5,5,10,10,54,21,46,9.3%,4.1%,47.2,23,6,20,714.3,14.6,936,19.1,0.76,0,0.00,7.2%,7.2%,14.5%,0,0,0.0%,0,48,28,38,21,27,10,4.0,2.4,3.2,1.8,2.3,0.8,28,14,0,0,0,0,-9.6,,, ,,1,13,0,0,0,0,0,0,0%,0,0.8,2.2,3,0.06,0.25,13.3,14.9,6.6,1.3,2.8,0,4.1,0.08,0.34,,,,2,Lower body,605000,,3.0
21,Mar 26 '80,Hamilton,ON,CAN,74,225,L,1998,4,106,,33,KRYSTOFERBARCH,Krys,Barch,FLA,,,RW/LW,55,0,4,4,-10,19,6,6,0.0%,0.0%,37.4,13,0,4,328.8,6.0,491,8.9,0.67,45,8.25,0.0%,3.7%,3.7%,1,0,100.0%,0,29,64,6,6,2,4,5.3,11.7,1.1,1.1,0.4,0.7,99,7,13,2,0,0,-5.6,,, ,,0,9,0,0,0,0,0,0,0%,2,-0.5,-0.1,-0.6,-0.01,-0.11,6.6,6.5,-7.9,-1.6,-0.1,0,-1.7,-0.03,-0.31,,,,,,750000,,-3.0
16,Sep 02 '95,Tampere,,FIN,75,213,L,2013,1,2,Y,18,ALEKSANDERBARKOV,Aleksander,Barkov,FLA,,,C,54,8,16,24,-3,87,16,31,9.2%,6.0%,28.1,49,11,13,923.2,17.1,1229,22.8,0.75,146,9.46,11.1%,22.2%,33.3%,400,419,48.8%,25.7,71,16,27,16,17,30,4.6,1.0,1.8,1.0,1.1,1.9,10,5,0,0,0,0,-1.1,9,2,22%,0,1,13,0,0,1,0,0,0,0%,5,1.1,0.8,1.9,0.04,0.12,20.8,16.4,6.1,0.6,1.6,-0.7,1.4,0.03,0.09,,,,28,"Knee, Illness",3575000,,-4.9
4,Jul 26 '91,Victoria,BC,CAN,70,190,R,2009,3,64,,22,TYSONBARRIE,Tyson,Barrie,COL,,,D,64,13,25,38,17,101,40,66,12.9%,6.3%,41.7,48,5,37,1186.1,18.5,1487,23.2,0.80,84,4.26,14.9%,28.7%,43.7%,0,0,0.0%,0,97,50,57,40,27,26,4.9,2.5,2.9,2.0,1.4,1.3,20,10,0,0,0,0,3.5,2,1,50%,1,2,21,3,2,5,0,0,0,0%,4,4.2,3.4,7.6,0.12,0.38,30.3,23.8,11.3,8.3,2.7,0.3,11.3,0.18,0.57,,,,1,Shoulder,900000,,9.7
43,Jun 04 '88,Pittsburgh,PA,USA,73,196,L,2008,7,190,,25,MATTHEWBARTKOWSKI,Matt,Bartkowski,BOS,,,D,64,0,18,18,22,91,39,78,0.0%,0.0%,50.1,44,18,25,1250.0,19.5,1671,26.1,0.75,76,3.63,0.0%,17.3%,17.3%,0,0,0.0%,0,81,155,56,39,28,11,3.9,7.4,2.7,1.9,1.3,0.5,30,15,0,0,0,0,-1.0,,, ,,0,14,0,0,0,0,0,0,0%,4,0.5,3.9,4.3,0.07,0.21,21.9,28.3,0.8,1.2,4.4,0,5.6,0.09,0.27,,,,,,650000,,4.5
64,Feb 17 '88,Ottawa,ON,CAN,72,203,L,,,,Y,25,VICTORBARTLEY,Victor,Bartley,NSH,,,D,50,1,5,6,0,21,10,19,4.8%,2.0%,54.1,8,2,10,768.2,15.4,1041,20.8,0.74,37,2.91,1.1%,5.5%,6.6%,0,0,0.0%,0,58,81,79,10,7,14,4.5,6.3,6.2,0.8,0.5,1.1,23,8,1,0,0,0,-0.3,,, ,,1,9,0,0,0,0,0,0,0%,3,-0.2,1.7,1.5,0.03,0.12,12.3,17.4,2.4,-0.6,2.5,0,1.8,0.04,0.14,,,,,,666667,,0.6
32,Jan 07 '87,Owen Sound,ON,CAN,72,210,R,2005,4,95,,27,CODYBASS,Cody,Bass,CBJ,,,C,1,0,0,0,0,0,0,0,0.0%,0.0%,0.0,0,0,0,2.7,2.7,4,4.0,0.68,0,0.00,0.0%,0.0%,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,0,0,0.0,,, ,,0,0,0,0,0,0,0,0,0%,3,0,0,0,0.00,0.00,0.1,0,0,0,0,0,0,0.00,0.00,,,,,,600000,,-1.1
83,Oct 16 '85,Calgary,AB,CAN,75,215,R,,,,,28,JAYBEAGLE,Jay,Beagle,WSH,,,RW/C/LW,62,4,5,9,-9,60,30,15,6.7%,3.8%,24.4,27,11,2,697.2,11.2,979,15.8,0.71,45,3.83,3.0%,3.8%,6.8%,296,277,51.7%,15.3,71,93,32,30,7,18,6.1,8.0,2.8,2.6,0.6,1.5,28,14,0,0,0,0,-5.3,1,0,0%,0,0,21,0,0,0,0,0,0,0%,3,-0.5,0.4,-0.1,0.00,-0.01,10,11.7,-8.5,-0.7,0.5,-0.3,-0.6,-0.01,-0.05,,,,1,Illness,900000,,-2.2
23,Jun 04 '80,Sorel,QC,CAN,73,207,L,1998,3,75,,33,FRANCOISBEAUCHEMIN,Francois,Beauchemin,ANA,,,D,70,4,13,17,26,100,48,77,4.0%,1.8%,52.5,31,3,59,1616.1,23.1,1917,27.4,0.84,50,1.86,3.8%,12.4%,16.2%,0,0,0.0%,0,72,112,171,48,51,17,2.7,4.2,6.3,1.8,1.9,0.6,39,17,1,0,0,0,2.2,,, ,,0,13,0,1,1,0,0,0,0%,5,0.4,4.3,4.7,0.07,0.17,34.4,45,1.1,-1.3,6.5,0,5.2,0.07,0.19,,,,10,Upper body,3500000,,-0.9
40,Dec 05 '92,Strathroy,ON,CAN,74,194,L,2011,1,17,Y,21,NATHANBEAULIEU,Nathan,Beaulieu,MTL,,,D,17,0,2,2,6,15,8,20,0.0%,0.0%,51.2,11,1,3,224.9,13.2,301,17.7,0.75,10,2.79,0.0%,4.7%,4.7%,0,0,0.0%,0,31,7,20,8,13,1,8.3,1.9,5.3,2.1,3.5,0.3,8,4,0,0,0,0,0.0,,, ,,0,2,0,0,0,0,0,0,0%,3,-0.1,1.1,1,0.06,0.27,3.3,3.7,5.7,-0.1,1.1,0,1.1,0.06,0.29,,,,,,1275000,,-1.1
41,May 13 '91,St. Catharines,ON,CAN,74,203,R,2009,3,70,Y,22,TAYLORBECK,Taylor,Beck,NSH,,,LW/RW,7,0,0,0,-2,9,4,2,0.0%,0.0%,35.8,8,0,0,89.9,12.8,130,18.6,0.69,0,0.00,0.0%,0.0%,0.0%,0,0,0.0%,0,10,4,5,4,2,0,6.7,2.7,3.3,2.7,1.3,0.0,6,3,0,0,0,0,-3.1,1,0,0%,0,0,3,0,0,0,0,0,0,0%,3,-0.3,0,-0.2,-0.03,-0.13,0.7,0.7,-1.9,-0.3,-0.1,-0.3,-0.7,-0.10,-0.47,,,,,,886667,,-2.3
39,Jun 07 '88,Windsor,ON,CAN,72,200,L,2006,4,112,,25,MATTBELESKY,Matt,Beleskey,ANA,,,LW,55,9,15,24,8,112,48,48,8.0%,4.3%,30.6,46,13,23,683.9,12.4,954,17.3,0.72,85,7.44,8.5%,14.2%,22.6%,8,10,44.4%,0.5,73,132,24,48,13,14,6.4,11.6,2.1,4.2,1.1,1.2,64,17,4,1,0,0,-8.0,1,0,0%,0,1,14,0,0,2,0,0,0,0%,3,1.8,0.8,2.7,0.05,0.24,15.4,12.6,3.2,3,1.3,-0.3,4.1,0.07,0.36,,,,21,"Thumb, Upper body",1350000,,1.7
