"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"261","Ales Hemsky","EDM","R","35","1983-08-13","Pardubice","","CZE","CZE","72","177","2001","EDM","1","13","13"
"162","Ales Kotalik","CGY","R","39","1978-12-23","Jindrichuv Hradec","","CZE","CZE","73","225","1998","BUF","6","19","164"
"216","Alex Frolov","NYR","L","36","1982-06-19","Moscow","","RUS","RUS","74","210","2000","L.A","1","20","20"
"495","Alex Goligoski","DAL, PIT","D","33","1985-07-30","Grand Rapids","MN","USA","USA","71","185","2004","PIT","2","31","61"
"11","Alex Kovalev","OTT, PIT","R","45","1973-02-24","Togliatti","","RUS","RUS","74","222","1991","NYR","1","15","15"
"470","Alex Ovechkin","WSH","L","33","1985-09-17","Moscow","","RUS","RUS","75","235","2004","WSH","1","1","1"
"787","Alex Pietrangelo","STL","D","28","1990-01-18","King City","ON","CAN","CAN","75","210","2008","STL","1","4","4"
"729","Alex Plante","EDM","D","29","1989-05-09","Brandon","MB","CAN","CAN","76","230","2007","EDM","1","15","15"
"136","Alex Tanguay","CGY","L","39","1979-11-21","Ste-Justine","QC","CAN","CAN","73","194","1998","COL","1","12","12"
"884","Alexander Burmistrov","ATL","C","27","1991-10-21","Kazan","","RUS","RUS","73","180","2010","ATL","1","8","8"
"502","Alexander Edler","VAN","D","32","1986-04-21","Ostersund","","SWE","SWE","75","212","2004","VAN","3","26","91"
"327","Alexander Semin","WSH","R","34","1984-03-03","Krasnojarsk","","RUS","RUS","74","211","2002","WSH","1","13","13"
"351","Alexander Steen","STL","L","34","1984-03-01","Winnipeg","MB","CAN","SWE","72","211","2002","TOR","1","24","24"
"422","Alexander Sulzer","FLA, NSH","D","34","1984-05-30","Kaufbeuren","","DEU","DEU","73","198","2003","NSH","3","24","92"
"867","Alexander Urbom","N.J","D","27","1990-12-20","Stockholm","","SWE","SWE","76","215","2009","N.J","3","12","73"
"688","Alexander Vasyunov","N.J","L","30","1988-04-22","Yaroslavl","","RUS","RUS","73","210","2006","N.J","2","28","58"
"430","Alexandre Bolduc","VAN","C","33","1985-06-26","Montreal","QC","CAN","CAN","75","200","2003","STL","4","26","127"
"369","Alexandre Burrows","VAN","L","37","1981-04-11","Pincourt","QC","CAN","CAN","73","197","-","-","-","-","-"
"195","Alexandre Giroux","EDM","L","37","1981-06-16","Quebec City","QC","CAN","CAN","75","208","1999","OTT","7","27","213"
"420","Alexandre Picard","MTL","D","33","1985-07-05","Gatineau","QC","CAN","CAN","75","215","2003","PHI","3","17","85"
"151","Alexei Ponikarovsky","L.A","L","38","1980-04-09","Kiev","","UKR","UKR","76","225","1998","TOR","4","1","87"
"370","Andre Benoit","OTT","D","34","1984-01-06","St. Albert","ON","CAN","CAN","71","190","-","-","-","-","-"
"871","Andreas Engqvist","MTL","C","30","1987-12-23","Stockholm","","SWE","SWE","76","199","-","-","-","-","-"
"230","Andreas Lilja","ANA","D","43","1975-07-13","Helsingborg","","SWE","SWE","75","220","2000","L.A","2","24","54"
"675","Andreas Nodl","PHI","R","31","1987-02-28","Vienna","","AUT","AUT","73","196","2006","PHI","2","9","39"
"759","Andreas Thuresson","NSH","R","31","1987-11-18","Kristianstad","","SWE","SWE","73","206","2007","NSH","5","23","144"
"382","Andrei Kostitsyn","MTL","L","33","1985-02-03","Novopolotsk","","BLR","BLR","72","214","2003","MTL","1","10","10"
"824","Andrei Loktionov","L.A","C","28","1990-05-30","Voskresensk","","RUS","RUS","71","190","2008","L.A","5","2","123"
"161","Andrei Markov","MTL","D","39","1978-12-20","Voskresensk","","RUS","RUS","72","200","1998","MTL","6","17","162"
"482","Andrej Meszaros","PHI","D","33","1985-10-13","Povaská Bystrica","","SVK","SVK","74","223","2004","OTT","1","23","23"
"500","Andrej Sekera","BUF","D","32","1986-06-08","Bojnice","","SVK","SVK","72","200","2004","BUF","3","6","71"
"293","Andrew Alberts","VAN","D","37","1981-06-30","Minneapolis","MN","USA","USA","77","218","2001","BOS","6","14","179"
"33","Andrew Brunette","MIN","L","45","1973-08-24","Sudbury","ON","CAN","CAN","73","215","1993","WSH","7","18","174"
"572","Andrew Cogliano","EDM","L","31","1987-06-14","Toronto","ON","CAN","CAN","70","177","2005","EDM","1","25","25"
"624","Andrew Desjardins","S.J","L","32","1986-07-27","Lively","ON","CAN","CAN","73","195","-","-","-","-","-"
"694","Andrew Ebbett","PHX","C","35","1983-01-02","Vernon","BC","CAN","CAN","69","174","-","-","-","-","-"
"122","Andrew Ference","BOS","D","39","1979-03-17","Edmonton","AB","CAN","CAN","71","182","1997","PIT","8","18","208"
"525","Andrew Gordon","WSH","R","32","1985-12-13","Porters Lake","NS","CAN","CAN","72","194","2004","WSH","7","4","197"
"183","Andrew Hutchinson","PIT","D","38","1980-03-24","Evanston","IL","USA","USA","74","195","1999","NSH","2","26","54"
"473","Andrew Ladd","ATL","L","32","1985-12-12","Maple Ridge","BC","CAN","CAN","75","192","2004","CAR","1","4","4"
"682","Andrew MacDonald","NYI","D","32","1986-09-07","Judique","NS","CAN","CAN","73","204","2006","NYI","6","7","160"
"303","Andrew Murray","CBJ","C","37","1981-11-06","Selkirk","MB","CAN","CAN","74","210","2001","CBJ","8","15","242"
"614","Andrey Zubarev","ATL","D","31","1987-03-03","Ufa","","RUS","RUS","73","210","2005","ATL","6","25","187"
"634","Andy Greene","N.J","D","36","1982-10-30","Trenton","MI","USA","USA","71","190","-","-","-","-","-"
"206","Andy McDonald","STL","L","41","1977-08-25","Strathroy","ON","CAN","CAN","70","175","-","-","-","-","-"
"129","Andy Sutton","ANA","D","43","1975-03-10","Kingston","ON","CAN","CAN","78","245","-","-","-","-","-"
"784","Anssi Salmela","N.J","D","34","1984-08-13","Nokia","","FIN","FIN","73","200","-","-","-","-","-"
"396","Anthony Stewart","ATL","R","33","1985-01-05","LaSalle","QC","CAN","CAN","75","230","2003","FLA","1","25","25"
"231","Antoine Vermette","CBJ","C","36","1982-07-20","St. Agapit","QC","CAN","CAN","73","197","2000","OTT","2","25","55"
"352","Anton Babchuk","CAR, CGY","D","34","1984-05-06","Kiev","","UKR","UKR","77","200","2002","CHI","1","21","21"
"620","Anton Stralman","CBJ","D","32","1986-08-01","Tibro","","SWE","SWE","71","190","2005","TOR","7","22","216"
"217","Anton Volchenkov","N.J","D","36","1982-02-25","Moscow","","RUS","RUS","73","220","2000","OTT","1","21","21"
"246","Antti Miettinen","MIN","R","38","1980-07-03","Hämeenlinna","","FIN","FIN","72","190","2000","DAL","7","27","224"
"562","Anze Kopitar","L.A","C","31","1987-08-24","Jesenice","","SVN","SVN","75","225","2005","L.A","1","11","11"
"85","Arron Asham","PIT","R","40","1978-04-13","Portage La Prairie","MB","CAN","CAN","71","210","1996","MTL","3","19","71"
"678","Artem Anisimov","NYR","C","30","1988-05-24","Yaroslavl","","RUS","RUS","76","198","2006","NYR","2","24","54"
"647","Arturs Kulda","ATL","D","30","1988-07-25","Riga","","LVA","LVA","74","215","2006","ATL","7","17","200"
"408","B.J. Crombeen","STL","R","33","1985-07-10","Denver","CO","USA","USA","74","209","2003","DAL","2","24","54"
"176","Barret Jackman","STL","D","37","1981-03-05","Trail","BC","CAN","CAN","72","203","1999","STL","1","17","17"
"355","Ben Eager","ATL, S.J","L","34","1984-01-22","Ottawa","ON","CAN","CAN","74","226","2002","PHX","1","23","23"
"873","Ben Holmstrom","PHI","C","31","1987-04-09","Colorado Springs","CO","USA","USA","73","203","-","-","-","-","-"
"705","Ben Lovejoy","PIT","D","34","1984-02-20","Concord","NH","USA","USA","73","205","-","-","-","-","-"
"655","Ben Maxwell","ATL","C","30","1988-03-30","North Vancouver","BC","CAN","CAN","73","195","2006","MTL","2","19","49"
"832","Ben Smith","CHI","R","30","1988-07-11","Winston-Salem","NC","USA","USA","71","203","2008","CHI","6","18","169"
"686","Benn Ferriero","S.J","R","31","1987-04-29","Boston","MA","USA","USA","71","195","2006","PHX","7","13","196"
"557","Benoit Pouliot","MTL","L","32","1986-09-29","Alfred","ON","CAN","CAN","75","200","2005","MIN","1","4","4"
"630","Bill Thomas","FLA","R","35","1983-06-20","Pittsburgh","PA","USA","USA","73","185","-","-","-","-","-"
"141","Blair Betts","PHI","C","38","1980-02-16","Edmonton","AB","CAN","CAN","75","210","1998","CGY","2","6","33"
"600","Blair Jones","T.B","C","32","1986-09-27","Central Butte","SK","CAN","CAN","74","216","2005","T.B","4","11","102"
"489","Blake Comeau","NYI","L","32","1986-02-18","Meadow Lake","SK","CAN","CAN","73","200","2004","NYI","2","17","47"
"689","Blake Geoffrion","NSH","C","30","1988-02-03","Plantation","FL","USA","USA","73","190","2006","NSH","2","26","56"
"474","Blake Wheeler","ATL, BOS","R","32","1986-08-31","Plymouth","MN","USA","USA","77","225","2004","PHX","1","5","5"
"876","Bobby Butler","OTT","R","31","1987-04-26","Marlborough","MA","USA","USA","72","189","-","-","-","-","-"
"555","Bobby Ryan","ANA","R","31","1987-03-17","Cherry Hill","NJ","USA","USA","74","209","2005","ANA","1","2","2"
"336","Boyd Gordon","WSH","C","35","1983-10-19","Unity","SK","CAN","CAN","72","200","2002","WSH","1","17","17"
"219","Brad Boyes","BUF, STL","R","36","1982-04-17","Mississauga","ON","CAN","CAN","72","199","2000","TOR","1","24","24"
"51","Brad Lukowich","DAL","D","42","1976-08-12","Cranbrook","BC","CAN","CAN","73","191","1994","NYI","4","12","90"
"638","Brad Marchand","BOS","L","30","1988-05-11","Halifax","NS","CAN","CAN","69","181","2006","BOS","3","8","71"
"702","Brad Mills","N.J","C","35","1983-05-03","Terrace","BC","CAN","CAN","72","195","-","-","-","-","-"
"145","Brad Richards","DAL","C","38","1980-05-02","Murray Hbr.","PE","CAN","CAN","72","199","1998","T.B","3","6","64"
"437","Brad Richardson","L.A","R","33","1985-02-04","Belleville","ON","CAN","CAN","72","190","2003","COL","5","27","163"
"544","Brad Staubitz","MIN","R","34","1984-07-28","Edmonton","AB","CAN","CAN","73","207","-","-","-","-","-"
"132","Brad Stuart","DET","D","39","1979-11-06","Rocky Mountain House","AB","CAN","CAN","74","215","1998","S.J","1","3","3"
"226","Brad Winchester","ANA, STL","L","37","1981-03-01","Madison","WI","USA","USA","77","230","2000","EDM","2","5","35"
"494","Brandon Dubinsky","NYR","C","32","1986-04-29","Anchorage","AK","USA","USA","74","205","2004","NYR","2","30","60"
"838","Brandon Mashinter","S.J","L","30","1988-09-20","Bradford","ON","CAN","CAN","76","212","-","-","-","-","-"
"819","Brandon McMillan","ANA","L","28","1990-03-22","Richmond","BC","CAN","CAN","71","190","2008","ANA","3","24","85"
"865","Brandon Pirri","CHI","R","27","1991-04-10","Toronto","ON","CAN","CAN","72","186","2009","CHI","2","29","59"
"499","Brandon Prust","NYR","L","34","1984-03-16","London","ON","CAN","CAN","72","195","2004","CGY","3","5","70"
"305","Brandon Segal","DAL","R","35","1983-07-12","Richmond","BC","CAN","CAN","74","215","2002","NSH","4","6","102"
"740","Brandon Sutter","CAR","C","29","1989-02-14","Huntington","NY","USA","CAN","75","190","2007","CAR","1","11","11"
"533","Brandon Yip","COL","R","33","1985-04-25","Vancouver","BC","CAN","CAN","73","198","2004","COL","8","12","239"
"856","Brayden Schenn","L.A","C","27","1991-08-22","Saskatoon","SK","CAN","CAN","73","200","2009","L.A","1","5","5"
"380","Braydon Coburn","PHI","D","33","1985-02-27","Shaunavon","SK","CAN","CAN","77","223","2003","ATL","1","8","8"
"575","Brendan Mikkelson","ANA, CGY","D","31","1987-06-22","Regina","SK","CAN","CAN","75","210","2005","ANA","2","1","31"
"28","Brendan Morrison","CGY","C","43","1975-08-15","Pitt Meadows","BC","CAN","CAN","71","176","1993","N.J","2","13","39"
"113","Brenden Morrow","DAL","L","39","1979-01-16","Carlyle","SK","CAN","CAN","71","212","1997","DAL","1","25","25"
"878","Brendon Nash","MTL","D","31","1987-03-31","Calgary","AB","CAN","CAN","75","210","-","-","-","-","-"
"391","Brent Burns","MIN","D","33","1985-03-09","Barrie","ON","CAN","CAN","77","230","2003","MIN","1","20","20"
"386","Brent Seabrook","CHI","D","33","1985-04-20","Richmond","BC","CAN","CAN","75","220","2003","CHI","1","14","14"
"65","Brent Sopel","ATL, MTL","D","41","1977-01-07","Calgary","AB","CAN","CAN","74","205","1995","VAN","6","14","144"
"507","Brett Carson","CAR, CGY","D","33","1985-11-29","Regina","SK","CAN","CAN","76","210","2004","CAR","4","11","109"
"92","Brett Clark","T.B","D","41","1976-12-23","Wapella","SK","CAN","CAN","72","194","1996","MTL","6","19","154"
"627","Brett Festerling","ANA","D","32","1986-03-03","Prince George","BC","CAN","CAN","73","210","-","-","-","-","-"
"468","Brett Lebda","TOR","D","36","1982-01-15","Buffalo Grove","IL","USA","USA","69","195","-","-","-","-","-"
"731","Brett MacLean","PHX","L","29","1988-12-24","London","ON","CAN","CAN","74","201","2007","PHX","2","2","32"
"433","Brett Sterling","PIT","L","34","1984-04-24","Los Angeles","CA","USA","USA","67","175","2003","ATL","5","9","145"
"612","Brett Sutter","CAR, CGY","L","31","1987-06-02","Viking","AB","CAN","CAN","72","200","2005","CGY","6","17","179"
"397","Brian Boyle","NYR","C","33","1984-12-18","Hingham","MA","USA","USA","78","245","2003","L.A","1","26","26"
"120","Brian Campbell","CHI","D","39","1979-05-23","Strathroy","ON","CAN","CAN","70","192","1997","BUF","6","22","156"
"236","Brian Fahey","WSH","D","37","1981-03-02","Glenview","IL","USA","USA","73","216","2000","COL","4","23","119"
"149","Brian Gionta","MTL","R","39","1979-01-18","Rochester","NY","USA","USA","67","178","1998","N.J","3","24","82"
"561","Brian Lee","OTT","D","31","1987-03-26","Moorhead","MN","USA","USA","75","200","2005","OTT","1","9","9"
"171","Brian Rafalski","DET","D","45","1973-09-28","Dearborn","MI","USA","USA","70","194","-","-","-","-","-"
"10","Brian Rolston","N.J","R","45","1973-02-21","Flint","MI","USA","USA","74","215","1991","N.J","1","11","11"
"674","Brian Strait","PIT","D","30","1988-01-04","Waltham","MA","USA","USA","73","188","2006","PIT","3","2","65"
"221","Brian Sutherby","DAL","C","36","1982-03-01","Edmonton","AB","CAN","CAN","74","208","2000","WSH","1","26","26"
"91","Brian Willsie","WSH","R","40","1978-03-16","Belmont","ON","CAN","CAN","73","202","1996","COL","6","11","146"
"585","Brodie Dupont","NYR","L","31","1987-02-17","Russell","MB","CAN","CAN","74","210","2005","NYR","3","5","66"
"295","Brooks Laich","WSH","C","35","1983-06-23","Wawota","SK","CAN","CAN","74","200","2001","OTT","6","28","193"
"215","Brooks Orpik","PIT","D","38","1980-09-26","San Francisco","CA","USA","USA","75","217","2000","PIT","1","18","18"
"439","Bruno Gervais","NYI","D","34","1984-10-03","Longueuil","QC","CAN","CAN","73","200","2003","NYI","6","15","182"
"133","Bryan Allen","CAR, FLA","D","38","1980-08-21","Kingston","ON","CAN","CAN","77","223","1998","VAN","1","4","4"
"488","Bryan Bickell","CHI","L","32","1986-03-09","Bowmanville","ON","CAN","CAN","76","223","2004","CHI","2","11","41"
"637","Bryan Little","ATL","C","31","1987-11-12","Edmonton","AB","CAN","CAN","72","191","2006","ATL","1","12","12"
"29","Bryan McCabe","FLA, NYR","D","43","1975-06-08","St. Catharines","ON","CAN","CAN","74","223","1993","NYI","2","14","40"
"464","Bryan Rodney","CAR","D","34","1984-04-22","London","ON","CAN","CAN","72","195","-","-","-","-","-"
"657","Cal Clutterbuck","MIN","R","31","1987-11-18","Welland","ON","CAN","CAN","71","216","2006","MIN","3","9","72"
"608","Cal O'Reilly","NSH","C","32","1986-09-30","Toronto","ON","CAN","CAN","72","188","2005","NSH","5","25","150"
"472","Cam Barker","MIN","D","32","1986-04-04","Winnipeg","MB","CAN","CAN","75","223","2004","CHI","1","3","3"
"882","Cam Fowler","ANA","D","27","1991-12-05","Windsor","ON","CAN","USA","73","206","2010","ANA","1","12","12"
"329","Cam Janssen","STL","R","34","1984-04-15","St. Louis","MO","USA","USA","72","215","2002","N.J","4","21","117"
"811","Cameron Gaunce","COL","D","28","1990-03-19","Sudbury","ON","CAN","CAN","74","204","2008","COL","2","20","50"
"749","Carl Gunnarsson","TOR","D","32","1986-11-09","Orebro","","SWE","SWE","74","198","2007","TOR","7","13","194"
"850","Carl Klingberg","ATL","L","27","1991-01-28","Gothenburg","","SWE","SWE","75","188","2009","ATL","2","4","34"
"264","Carlo Colaiacovo","STL","D","35","1983-01-27","Toronto","ON","CAN","CAN","73","202","2001","TOR","1","17","17"
"738","Carson McMillan","MIN","R","30","1988-09-10","Brandon","MB","CAN","CAN","73","196","2007","MIN","7","19","200"
"872","Casey Wellman","MIN","C","31","1987-10-18","Brentwood","CA","USA","USA","72","173","-","-","-","-","-"
"526","Chad Kolarik","NYR","C","32","1986-01-26","Abington","PA","USA","USA","71","178","2004","PHX","7","6","199"
"311","Chad LaRose","CAR","R","36","1982-03-27","Fraser","MI","USA","USA","70","181","-","-","-","-","-"
"597","Chris Butler","BUF","D","32","1986-10-27","St. Louis","MO","USA","USA","73","196","2005","BUF","4","5","96"
"368","Chris Campoli","CHI, OTT","D","34","1984-07-09","Mississauga","ON","CAN","CAN","72","200","2004","NYI","7","34","227"
"49","Chris Clark","CBJ","R","42","1976-03-08","South Windsor","CT","USA","USA","72","191","1994","CGY","3","25","77"
"631","Chris Conner","PIT","R","34","1983-12-23","Westland","MI","USA","USA","67","181","-","-","-","-","-"
"48","Chris Drury","NYR","C","42","1976-08-20","Trumbull","CT","USA","USA","70","191","1994","QUE","3","20","72"
"354","Chris Higgins","FLA, VAN","L","35","1983-06-02","Smithtown","NY","USA","USA","72","205","2002","MTL","1","14","14"
"189","Chris Kelly","BOS, OTT","C","38","1980-11-11","Toronto","ON","CAN","CAN","72","190","1999","OTT","3","28","94"
"371","Chris Kunitz","PIT","L","39","1979-09-26","Regina","SK","CAN","CAN","72","188","-","-","-","-","-"
"782","Chris Mueller","NSH","C","32","1986-03-06","West Seneca","NY","USA","USA","71","196","-","-","-","-","-"
"160","Chris Neil","OTT","R","39","1979-06-18","Flesherton","ON","CAN","CAN","73","209","1998","OTT","6","16","161"
"69","Chris Phillips","OTT","D","40","1978-03-09","Calgary","AB","CAN","CAN","75","219","1996","OTT","1","1","1"
"456","Chris Porter","STL","L","34","1984-05-29","Toronto","ON","CAN","CAN","73","206","2003","CHI","9","21","282"
"22","Chris Pronger","PHI","D","44","1974-10-10","Dryden","ON","CAN","CAN","78","188","1993","HFD","1","2","2"
"652","Chris Stewart","COL, STL","R","31","1987-10-30","Toronto","ON","CAN","CAN","74","242","2006","COL","1","18","18"
"684","Chris Summers","PHX","D","30","1988-02-05","Ann Arbor","MI","USA","USA","74","207","2006","PHX","1","29","29"
"275","Chris Thorburn","ATL","R","35","1983-06-03","Sault Ste. Marie","ON","CAN","CAN","75","235","2001","BUF","2","20","50"
"598","Chris VandeVelde","EDM","C","31","1987-03-15","Moorhead","MN","USA","USA","74","190","2005","EDM","4","6","97"
"283","Christian Ehrhoff","VAN","D","36","1982-07-06","Moers","","DEU","DEU","74","201","2001","S.J","4","10","106"
"841","Christian Hanson","TOR","C","32","1986-03-10","Glens Falls,","NY","USA","USA","76","228","-","-","-","-","-"
"880","Christopher Tanev","VAN","D","28","1989-12-20","Toronto","ON","CAN","CAN","74","197","-","-","-","-","-"
"262","Chuck Kobasew","MIN","R","36","1982-04-17","Vancouver","BC","CAN","CAN","72","192","2001","CGY","1","14","14"
"418","Clarke MacArthur","TOR","L","33","1985-04-06","Lloydminster","AB","CAN","CAN","72","192","2003","BUF","3","6","74"
"659","Claude Giroux","PHI","C","30","1988-01-12","Hearst","ON","CAN","CAN","71","185","2006","PHI","1","22","22"
"628","Clay Wilson","FLA","D","35","1983-04-05","Sturgeon Lake","MN","USA","USA","72","195","-","-","-","-","-"
"458","Clayton Stoner","MIN","D","33","1985-02-19","Port McNeill","BC","CAN","CAN","76","216","2004","MIN","3","14","79"
"727","Cody Almond","MIN","C","29","1989-07-24","Calgary","AB","CAN","CAN","74","199","2007","MIN","5","19","140"
"596","Cody Bass","OTT","C","31","1987-01-07","Owen sound","ON","CAN","CAN","72","205","2005","OTT","4","4","95"
"590","Cody Franson","NSH","D","31","1987-08-08","Sicamous","BC","CAN","CAN","77","224","2005","NSH","3","18","79"
"792","Cody Hodgson","VAN","C","28","1990-02-18","Toronto","ON","CAN","CAN","72","191","2008","VAN","1","10","10"
"288","Cody McCormick","BUF","C","35","1983-04-18","London","ON","CAN","CAN","74","222","2001","COL","5","13","144"
"548","Cody McLeod","COL","L","34","1984-06-26","Binscarth","MB","CAN","CAN","74","204","-","-","-","-","-"
"267","Colby Armstrong","TOR","R","36","1982-11-23","Lloydminster","SK","CAN","CAN","74","185","2001","PIT","1","21","21"
"716","Colby Cohen","COL","D","29","1989-04-25","Villanova","PA","USA","USA","74","200","2007","COL","2","15","45"
"416","Colin Fraser","EDM","C","33","1985-01-28","Sicamous","BC","CAN","CAN","73","190","2003","PHI","3","1","69"
"618","Colin Greening","OTT","C","32","1986-03-09","St. John's","NL","CAN","CAN","74","210","2005","OTT","7","10","204"
"286","Colin Stuart","BUF","L","36","1982-07-08","Rochester","MN","USA","USA","74","205","2001","ATL","5","4","135"
"81","Colin White","N.J","D","40","1977-12-12","New glasgow","NS","CAN","CAN","76","215","1996","N.J","2","23","49"
"791","Colin Wilson","NSH","C, L","29","1989-10-20","Greenwich","CT","USA","USA","73","221","2008","NSH","1","7","7"
"748","Colton Gillies","MIN","C","29","1989-02-12","White Rock","BC","CAN","CAN","76","208","2007","MIN","1","16","16"
"247","Colton Orr","TOR","R","36","1982-03-03","Winnipeg","MB","CAN","CAN","75","222","-","-","-","-","-"
"744","Colton Sceviour","DAL","C","29","1989-04-20","Red Deer","AB","CAN","CAN","72","192","2007","DAL","4","21","112"
"426","Corey Locke","OTT","C","34","1984-05-08","Toronto","ON","CAN","CAN","69","175","2003","MTL","4","12","113"
"399","Corey Perry","ANA","R","33","1985-05-16","Peterborough","ON","CAN","CAN","75","206","2003","ANA","1","28","28"
"429","Corey Potter","PIT","D","34","1984-01-05","Lansing","MI","USA","USA","75","204","2003","NYR","4","21","122"
"669","Cory Emmerton","DET","C","30","1988-06-01","St. Thomas","ON","CAN","CAN","72","191","2006","DET","2","11","41"
"77","Cory Sarich","CGY","D","40","1978-08-16","Saskatoon","SK","CAN","CAN","76","207","1996","BUF","2","1","27"
"18","Cory Stillman","CAR, FLA","L","44","1973-12-20","Peterborough","ON","CAN","CAN","72","193","1992","CGY","1","6","6"
"93","Craig Adams","PIT","R","41","1977-04-26","Seria","","BRN","CAN","72","200","1996","HFD","9","8","223"
"4","Craig Conroy","CGY","C","47","1971-09-04","Potsdam","NY","USA","USA","74","193","1990","MTL","6","18","123"
"20","Craig Rivet","BUF, CBJ","D","44","1974-09-13","North Bay","ON","CAN","CAN","74","207","1992","MTL","3","20","68"
"467","Curtis Glencross","CGY","L","35","1982-12-28","Kindersley","SK","CAN","CAN","73","197","-","-","-","-","-"
"75","Dainius Zubrus","N.J","C","40","1978-06-16","Elektrenai","","LTU","LTU","77","225","1996","PHI","1","15","15"
"821","Dale Weise","NYR","R","30","1988-08-05","Winnipeg","MB","CAN","CAN","74","206","2008","NYR","4","20","111"
"128","Dan Boyle","S.J","D","42","1976-07-12","Ottawa","ON","CAN","CAN","71","194","-","-","-","-","-"
"625","Dan Girardi","NYR","D","34","1984-04-29","Welland","ON","CAN","CAN","73","212","-","-","-","-","-"
"260","Dan Hamhuis","VAN","D","35","1982-12-13","Smithers","BC","CAN","CAN","73","204","2001","NSH","1","12","12"
"844","Dan Sexton","ANA","R","31","1987-04-29","Apple Valley","MN","USA","USA","69","180","-","-","-","-","-"
"742","Dana Tyrell","T.B","C","29","1989-04-23","Airdrie","AB","CAN","CAN","70","192","2007","T.B","2","17","47"
"52","Daniel Alfredsson","OTT","R","45","1972-12-11","Gothenburg","","SWE","SWE","71","203","1994","OTT","6","3","133"
"74","Daniel Briere","PHI","C","41","1977-10-06","Gatineau","QC","CAN","CAN","69","174","1996","PHX","1","24","24"
"417","Daniel Carcillo","PHI","L","33","1985-01-28","King City","ON","CAN","CAN","72","200","2003","PIT","3","5","73"
"111","Daniel Cleary","DET","R","39","1978-12-18","Carbonear","NL","CAN","CAN","73","205","1997","CHI","1","13","13"
"349","Daniel Paille","BOS","L","34","1984-04-15","Welland","ON","CAN","CAN","73","188","2002","BUF","1","20","20"
"172","Daniel Sedin","VAN","L","38","1980-09-26","Ornskoldsvik","","SWE","SWE","73","190","1999","VAN","1","2","2"
"536","Daniel Winnik","COL","L","33","1985-03-06","Toronto","ON","CAN","CAN","74","210","2004","PHX","9","7","265"
"465","Danny Syvret","ANA, PHI","D","33","1985-06-13","Millgrove","ON","CAN","CAN","72","205","2005","EDM","3","20","81"
"209","Dany Heatley","S.J","L","37","1981-01-21","Freiburg","","DEU","CAN","75","212","2000","ATL","1","2","2"
"242","Darcy Hordichuk","FLA","L","38","1980-08-10","Kamsack","SK","CAN","CAN","73","215","2000","ATL","6","13","180"
"604","Darren Helm","DET","C","31","1987-01-21","St. Andrews","MB","CAN","CAN","72","196","2005","DET","5","7","132"
"704","Darroll Powe","PHI","C","33","1985-06-22","Saskatoon","SK","CAN","CAN","71","212","-","-","-","-","-"
"463","Darryl Boyce","TOR","C","34","1984-07-07","Summerside","PE","CAN","CAN","72","200","-","-","-","-","-"
"487","Dave Bolland","CHI","C","32","1986-06-05","Mimico","ON","CAN","CAN","72","188","2004","CHI","2","2","32"
"44","Dave Scatchard","STL","C","42","1976-02-20","Hinton","AB","CAN","CAN","75","220","1994","VAN","2","16","42"
