#,DOB,Birth City,S/P,Ctry,Nat,HT,Wt,S,Draft,Round,Overall,Rk,Age,First Name,Last Name,End Team,Teams,OGP,Pos,GP,G,A,A1,PTS,+/-,Sh,Misses,Blocked,Sh%,CoSH%,TOI,TOI/G,Shifts,Sh/G,TOI/Sh,Passes,Pa/60,IGP,IAP,IPP,FOW,FOL,FO%,%Tm,OpenFOT,OpenFOW,HitA,HitF,BkS,MsS,GvA,TkA,HA/60,HF/60,B/60,M/60,G/60,T/60,PIM,Minor,Major,Misc,G Misc,Match,Grit,NetPen,SOS,SOG,SO%,SOGDG,1G,OTGP,OTG,OTA,GWG,ENG,PSG,PST,PS%,OPS,DPS,PS,PS/G,PS/60,DIA,OGIT,DIT,RPM,OGVT,DGVT,SGVT,GVT,GVT/G,GVT/60,1st Star,2nd Star,3rd Star,FO GAR,PenD GAR,PenT GAR,SRF GAR,SRA GAR,Sh GAR,GAR,dCFImpact,dCAImpact,dCorsiImpact,dCorsi60,dFFImpact,dFAImpact,dFenwickImpact,dFenwick60,Days,Ginj,Injury,Cap Cost,CHIP,Bonuses,GVS
53,May 07 '94,Burlington,ON,CAN,CA,75,212,R,2012,4,95,Y,20,Josh,Anderson,CBJ,CBJ,,RW,6,0,1,0,1,-1,10,3,6,0.0%,0.0%,80.7,13.5,119,19.8,0.68,0,0.00,0.0%,33.3%,33.3%,0,0,0.0%,.0,,,12,24,2,3,3,3,8.9,17.8,1.5,2.2,2.2,2.2,2,1,0,0,0,0,28,-0.1,,, ,,0,0,0,0,0,0,0,0,0%,-0.1,0.0,-0.1,-0.02,-0.07,4,1.8,1.7,-0.7,-0.5,0.0,0.0,-0.5,-0.08,-0.37,0,0,0,0,-0.05,0.08,0.5,0.51,-0.72,0.32,1.7,-6.4,8.1,5.8,-4.9,-1.6,-3.3,-2.4,11,,,0.053,0,0.282,-0.5
18,Feb 05 '89,Munkedal,,SWE,SE,74,211,L,2007,3,88,,25,Joakim,Andersson,DET,DET,,C,68,3,5,5,8,-4,74,14,15,4.1%,2.9%,790.8,11.6,1175,17.3,0.67,94,7.15,20.0%,33.3%,53.3%,192,183,51.2%,9.0,,,74,27,24,14,13,8,5.6,2.0,1.8,1.1,1.0,0.6,22,11,0,0,0,0,73,-8.0,,, ,,2,19,0,0,1,1,0,0,0%,-1.0,0.7,-0.3,0.00,-0.02,3,12.2,15.3,-5.3,-2.2,1.9,0.0,-0.3,0.00,-0.02,0,1,0,0.13,-1.08,0.44,-1.23,2.64,-3.3,-2.4,-31.1,48.7,-79.8,-7.8,-19.0,26.2,-45.3,-4.4,186,1,Illness,0.733,0.009,0,-0.7
15,May 17 '91,Pickering,ON,CAN,CA,73,207,L,2011,3,80,Y,23,Andy,Andreoff,LAK,LAK,,LW/C,18,2,1,0,3,1,14,10,4,14.3%,7.1%,154.2,8.6,220,12.2,0.70,0,0.00,100.0%,50.0%,150.0%,32,29,52.5%,5.8,,,18,33,0,10,4,7,7.0,12.8,0.0,3.9,1.6,2.7,18,4,2,0,0,0,53,-3.3,,, ,,1,4,0,0,1,1,0,0,0%,0.1,0.2,0.4,0.02,0.16,1,1.6,1.6,0.9,0.6,0.4,0.0,1.0,0.06,0.39,1,0,0,0.03,-0.22,-0.24,-0.39,-0.5,-0.08,-1.4,-28.8,14.3,-43.1,-16.5,-23.5,13.9,-37.4,-14.3,186,,,0.55,0,0,1.0
58,Mar 21 '93,Zurich,,CHE,CH,69,183,L,2013,3,86,Y,21,Sven,Andrighetto,MTL,MTL,,RW,12,2,1,1,3,0,12,1,8,16.7%,9.5%,113.0,9.4,159,13.3,0.71,8,4.25,28.6%,14.3%,42.9%,3,12,20.0%,2.1,,,13,5,4,1,2,1,6.9,2.7,2.1,0.5,1.1,0.5,0,0,0,0,0,0,9,-0.2,,, ,,0,2,0,0,0,0,0,0,0%,0.3,0.1,0.4,0.03,0.21,3,3.8,3.0,-0.8,-0.3,0.2,0.0,-0.2,-0.02,-0.11,0,0,0,-0.04,-0.3,0.33,-0.52,-0.22,0.72,-0.03,-16.8,-2.9,-13.9,-9.2,-6.8,3.8,-10.6,-6.9,35,,,0.141,0,0.125,-0.3
15,Jun 27 '85,Woodbridge,ON,CAN,CA,73,212,L,,,,,29,Mike,Angelidis,TBL,TBL,,LW,3,0,0,0,0,0,0,0,0,0.0%,0.0%,22.0,7.3,39,13.0,0.56,0,0.00,0.0%,0.0%,0.0%,7,12,36.8%,9.6,,,4,5,0,0,0,0,10.9,13.6,0.0,0.0,0.0,0.0,12,1,2,0,0,0,19,0.0,,, ,,0,1,0,0,0,0,0,0,0%,-0.1,0.0,0.0,0.00,0.00,2,0.2,0.2,0.0,-0.1,0.0,0.0,0.0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,-5.0,-3.7,-1.3,-3.3,-5.6,-1.2,-4.5,-11.4,8,,,0.028,0,0,0.0
42,May 24 '88,Yaroslavl,,RUS,RU,76,198,L,2006,2,54,,26,Artem,Anisimov,CBJ,CBJ,,C,52,7,20,15,27,-6,88,48,39,8.0%,4.0%,851.8,16.4,1152,22.2,0.74,162,11.41,21.2%,60.6%,81.8%,102,127,44.5%,7.1,4,1,72,33,26,48,21,24,5.1,2.3,1.8,3.4,1.5,1.7,8,4,0,0,0,0,67,1.8,3,0,0%,0,2,11,1,0,2,0,0,0,0%,1.4,0.6,2.0,0.04,0.14,8,17.1,18.6,-3.8,2.8,1.0,-0.8,3.0,0.06,0.21,0,1,1,-0.04,-0.65,1.59,2.31,1.56,-1.76,3.01,41.8,-47.9,89.6,8.6,30.3,-33.4,63.7,6.1,186,30,"Arm, Concussion",3.283,0.921,0,-2.8
36,Aug 12 '88,Milford,CT,USA,US,68,172,R,,,,,26,Mark,Arcobello,ARI,"EDM, NSH, PIT, ARI",36,C/RW,77,17,14,7,31,-10,129,57,57,13.2%,7.0%,1140.1,14.8,1615,21.0,0.71,85,4.47,44.7%,36.8%,81.6%,471,468,50.2%,19.9,12,6,93,111,27,57,43,39,4.9,5.8,1.4,3.0,2.3,2.1,20,10,0,0,0,0,158,1.1,2,0,0%,0,2,17,1,0,2,0,0,0,0%,2.2,1.0,3.3,0.04,0.17,3,22.2,22.2,4.3,3.8,2.4,-0.5,5.6,0.07,0.29,0,0,4,0.14,-1.11,1.28,0.45,0.51,4.22,5.49,7.1,-38.8,45.9,14.5,8.8,-14.4,23.2,9.9,186,,,0.601,0,0,5.5
33,May 31 '93,Pori,,FIN,FI,75,192,R,2011,1,16,Y,21,Joel,Armia,BUF,BUF,,RW,1,0,0,0,0,0,0,0,0,0.0%,0.0%,14.8,14.8,19,19.0,0.78,0,0.00,0.0%,0.0%,0.0%,0,0,0.0%,.0,,,2,4,0,0,0,0,8.1,16.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0.0,,, ,,0,0,0,0,0,0,0,0,0%,0.0,0.0,0.0,0.00,0.00,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,-5.9,-4.8,-1.1,-4.7,-3.7,-2.4,-1.3,-5.2,1,,,0.007,0,0.7,0.0
38,Apr 08 '93,Skellefteå,,SWE,SE,69,172,R,2014,4,112,Y,21,Viktor,Arvidsson,NSH,NSH,,LW,6,0,0,0,0,0,9,5,4,0.0%,0.0%,61.5,10.3,84,14.0,0.73,0,0.00,0.0%,0.0%,0.0%,0,0,0.0%,.0,,,8,3,5,5,3,3,7.8,2.9,4.9,4.9,2.9,2.9,0,0,0,0,0,0,8,0.9,,, ,,0,2,0,0,0,0,0,0,0%,-0.2,0.1,-0.1,-0.02,-0.10,3,0.7,0.7,-0.1,-0.3,0.1,0.0,-0.2,-0.03,-0.20,0,0,1,0,-0.04,0.04,-0.92,0.19,-0.42,-1.15,-11.1,0.3,-11.4,-11.2,-6.6,-4.0,-2.5,-2.5,12,,,0.042,0,0.035,-0.2
37,Apr 01 '91,Winnipeg,MB,CAN,CA,75,215,L,2009,1,29,,23,Carter,Ashton,TOR,TOR,,RW,7,0,0,0,0,-3,4,1,2,0.0%,0.0%,43.6,6.2,63,9.0,0.69,0,0.00,0.0%,0.0%,0.0%,1,4,20.0%,1.1,,,11,6,3,1,1,2,15.1,8.3,4.1,1.4,1.4,2.8,0,0,0,0,0,0,9,0.9,,, ,,0,0,0,0,0,0,0,0,0%,-0.1,-0.1,-0.2,-0.03,-0.28,4,1.0,1.0,-2.7,-0.4,-0.2,0.0,-0.6,-0.09,-0.83,0,0,0,-0.01,0.05,0.14,0,0,-0.55,-0.37,-4.3,0.1,-4.4,-6.0,-2.5,-1.3,-1.2,-1.7,48,,,0.219,0,0,-0.8
13,Jun 05 '89,Riverside,CT,USA,US,68,174,R,2008,6,157,,25,Cam,Atkinson,CBJ,CBJ,,RW,78,22,18,9,40,-2,212,63,62,10.4%,6.5%,1325.3,17.0,1813,23.2,0.73,117,5.31,41.5%,34.0%,75.5%,4,5,44.4%,.1,,,57,55,39,63,22,40,2.6,2.5,1.8,2.9,1.0,1.8,22,11,0,0,0,0,116,-1.1,7,2,29%,1,2,19,0,0,7,3,0,0,0%,3.3,1.2,4.5,0.06,0.20,6,26.0,22.6,2.6,5.8,1.1,-0.1,6.9,0.09,0.31,4,1,1,0.01,-1.58,1.64,10.43,-4.97,-3.87,1.66,46.0,74.4,-28.4,-1.7,32.8,49.1,-16.3,-1.0,186,4,"Facial, Upper body",1.15,0.014,0,5.6
22,Jun 11 '89,Rouleau,SK,CAN,CA,78,222,L,2007,4,116,,25,Keith,Aulie,EDM,EDM,,D,31,0,1,0,1,-3,25,15,19,0.0%,0.0%,443.4,14.3,649,20.9,0.68,0,0.00,0.0%,5.9%,5.9%,0,0,0.0%,.0,,,67,59,37,15,12,4,9.1,8.0,5.0,2.0,1.6,0.5,66,13,6,0,0,1,168,-5.0,1,0,0%,0,0,7,0,0,0,0,0,0,0%,-0.4,0.8,0.3,0.01,0.04,2,7.4,9.4,2.3,-1.4,1.1,-0.3,-0.5,-0.02,-0.07,0,0,0,0,0.14,-1.26,0.52,-2.11,-1.09,-3.8,5.5,33.5,-28.0,-4.0,7.3,23.5,-16.2,-2.3,160,,,0.688,0,0,-1.0
42,May 01 '84,Minneapolis,MN,USA,US,75,221,R,2003,2,62,,30,David,Backes,STL,STL,,C/RW,80,26,32,18,58,7,183,77,45,14.2%,8.5%,1491.3,18.6,2209,27.6,0.68,157,6.31,29.9%,36.8%,66.7%,617,513,54.6%,22.5,40,18,112,227,87,77,29,38,4.5,9.1,3.5,3.1,1.2,1.5,104,32,2,2,1,0,420,-2.2,,, ,,4,21,0,1,3,1,0,0,0%,5.2,1.9,7.2,0.09,0.29,9,36.7,35.0,0.3,8.1,4.5,0.0,12.7,0.16,0.51,1,6,3,1.16,1.03,-0.9,6.5,-1.51,5.99,12.27,14.5,64.2,-49.6,-2.7,21.3,20.6,0.7,0.0,186,1,Concussion,4.5,0.055,0,4.3
11,Mar 17 '89,Vasteras,,SWE,SE,72,198,L,2007,1,24,,25,Mikael,Backlund,CGY,CGY,,C,52,10,17,8,27,4,103,41,48,9.7%,5.2%,922.7,17.7,1367,26.3,0.67,84,5.44,29.4%,50.0%,79.4%,423,452,48.3%,27.0,23,7,48,41,32,41,42,58,3.1,2.7,2.1,2.7,2.7,3.8,14,7,0,0,0,0,87,-2.4,,, ,,2,13,1,0,2,1,0,0,0%,1.5,1.2,2.7,0.05,0.18,5,15.1,17.6,1.8,4.0,2.7,0.0,6.7,0.13,0.44,1,0,2,0.28,-1.35,1.27,5.51,1.64,0.04,7.39,29.4,-38.5,67.8,5.6,22.8,-30.1,52.9,4.4,186,30,"Abdominal, Illness",1.5,0.53,0,4.7
19,Nov 23 '87,Gävle,,SWE,SE,73,208,L,2006,1,4,,27,Nicklas,Backstrom,WSH,WSH,,C,82,18,60,31,78,5,153,78,52,11.8%,6.4%,1683.5,20.5,1996,24.3,0.84,273,9.74,19.1%,63.8%,83.0%,862,747,53.6%,32.7,54,24,100,91,52,78,36,55,3.6,3.2,1.9,2.8,1.3,2.0,40,19,0,0,0,0,183,-7.7,10,3,30%,2,2,21,1,0,3,1,0,0,0%,6.1,2.0,8.1,0.10,0.29,6,39.7,34.0,-1.4,12.3,3.1,0.0,15.4,0.19,0.55,4,4,8,1.5,-1.68,1.35,8.56,1.73,3.52,14.98,19.1,-10.5,29.6,1.4,29.0,-6.4,35.3,1.7,186,,,6.7,0,0,2.3
47,Oct 05 '92,Bern,,CHE,CH,71,190,L,2011,1,13,,22,Sven,Baertschi,VAN,"CGY, VAN",15,LW,18,2,4,4,6,-3,15,4,5,13.3%,8.3%,174.3,9.7,276,15.3,0.63,37,12.79,25.0%,50.0%,75.0%,0,0,0.0%,.0,,,11,8,7,4,5,7,3.8,2.8,2.4,1.4,1.7,2.4,10,5,0,0,0,0,25,-2.3,,, ,,0,5,0,0,0,0,0,0,0%,0.4,0.1,0.5,0.03,0.17,3,3.6,3.6,-3.2,0.8,0.1,0.0,0.9,0.05,0.31,1,1,0,0,-0.03,-0.09,-0.13,0,-0.89,-1.14,-0.4,-4.9,4.5,0.0,-5.0,-2.9,-2.1,-7.2,60,1,Illness,0.46,0.017,1.062,0.3
37,Oct 27 '91,ANCHORAGE,AK,USA,US,75,195,R,,,,Y,23,Casey,Bailey,TOR,TOR,,C,6,1,0,0,1,1,9,1,1,11.1%,9.1%,54.2,9.0,72,12.0,0.75,0,0.00,50.0%,0.0%,50.0%,0,0,0.0%,.0,,,7,3,4,1,1,1,7.7,3.3,4.4,1.1,1.1,1.1,2,1,0,0,0,0,9,0.9,,, ,,0,3,0,0,0,0,0,0,0%,0.1,0.1,0.2,0.03,0.22,3,0.5,0.5,1.1,0.3,0.1,0.0,0.5,0.08,0.55,1,0,0,0,0,0,0,0,0,0,-3.5,-10.6,7.1,8.2,0.9,-8.6,9.6,10.9,18,,,0.131,0,0.025,0.3
12,Oct 02 '89,Bowmanville,ON,CAN,CA,73,194,L,2008,1,9,,25,Josh,Bailey,NYI,NYI,,LW/C,70,15,26,14,41,3,140,46,75,10.7%,5.7%,1174.7,16.8,1477,21.1,0.80,155,7.91,25.0%,43.3%,68.3%,30,36,45.5%,1.6,1,0,78,66,36,46,47,53,4.0,3.4,1.8,2.3,2.4,2.7,12,6,0,0,0,0,114,3.0,3,1,33%,1,2,18,0,0,1,1,0,0,0%,3.1,1.2,4.3,0.06,0.22,6,25.8,24.0,1.5,5.6,2.8,0.1,8.4,0.12,0.43,1,1,2,0,-0.83,2.39,6.58,-0.76,0.64,8.02,-27.5,94.2,-121.6,-7.2,-33.0,55.0,-88.0,-5.2,186,12,"Hand, Lower body, Undisclosed, Upper body",3.3,0.322,0,2.5
2,Nov 26 '82,Baudette,MN,USA,US,71,204,L,2002,1,11,,32,Keith,Ballard,MIN,MIN,,D,14,0,1,0,1,-3,5,2,3,0.0%,0.0%,168.8,12.1,274,19.6,0.62,0,0.00,0.0%,14.3%,14.3%,0,0,0.0%,.0,,,20,15,20,2,5,2,7.1,5.3,7.1,0.7,1.8,0.7,26,8,2,0,0,0,63,-1.3,,, ,,0,2,0,0,0,0,0,0,0%,-0.1,0.1,0.0,0.00,0.00,3,4.3,4.8,-4.0,-0.6,-0.1,0.0,-0.8,-0.06,-0.28,0,0,0,0,0.65,-0.84,-0.68,-0.64,-0.26,-1.77,1.3,20.2,-18.9,-7.3,-3.3,17.0,-20.3,-7.8,186,64,"Concussion, Illness",1.5,1.024,0,-2.8
8,Mar 23 '90,Montreal,QC,CAN,CA,73,199,L,2008,6,152,,24,Mark,Barberio,TBL,TBL,,D,52,1,6,2,7,-4,53,25,42,1.9%,0.8%,872.7,16.8,1102,21.2,0.79,34,2.33,4.2%,25.0%,29.2%,0,0,0.0%,.0,,,66,35,46,25,20,13,4.5,2.4,3.2,1.7,1.4,0.9,16,8,0,0,0,0,97,1.9,,, ,,0,10,0,0,0,0,0,0,0%,-0.2,1.1,0.9,0.02,0.06,0,12.1,14.7,-9.3,-0.2,0.3,0.0,0.1,0.00,0.01,0,0,0,0,-0.07,0.57,0.32,2.03,-1.08,1.77,3.7,3.6,0.1,0.0,-7.4,11.9,-19.3,-1.4,186,,,0.874,0,0,-0.6
16,Sep 02 '95,Tampere,,FIN,FI,75,213,L,2013,1,2,,19,Aleksander,Barkov,FLA,FLA,,C,71,16,20,9,36,-4,123,36,40,13.0%,8.0%,1242.4,17.5,1516,21.4,0.82,100,4.85,30.2%,37.7%,67.9%,462,540,46.1%,22.5,39,25,133,35,35,36,27,42,6.4,1.7,1.7,1.7,1.3,2.0,16,8,0,0,0,0,86,-3.1,4,1,25%,1,4,20,0,0,3,0,0,0,0%,2.4,1.2,3.6,0.05,0.17,6,24.7,20.9,-2.4,4.1,1.6,-0.2,5.6,0.08,0.27,2,5,0,0.08,-1.61,2.32,0.65,4.44,3.26,9.14,5.5,-29.9,35.4,2.2,-15.8,-30.2,14.4,0.9,186,11,"Flu, Hand, Illness, Lower body",3.575,0.087,2.65,-0.8
4,Jul 26 '91,Victoria,BC,CAN,CA,70,190,R,2009,3,64,,23,Tyson,Barrie,COL,COL,,D,80,12,41,18,53,5,139,63,110,8.6%,3.8%,1709.2,21.4,2034,25.4,0.84,143,5.03,12.4%,42.3%,54.6%,0,0,0.0%,.0,,,138,80,90,63,47,40,4.8,2.8,3.2,2.2,1.6,1.4,26,13,0,0,0,0,196,3.6,2,0,0%,0,3,24,0,1,0,0,0,0,0%,5.2,4.2,9.4,0.12,0.33,3,47.5,34.7,9.9,9.3,1.5,-0.5,10.3,0.13,0.36,1,4,4,0,-0.28,0.89,5.09,-1.3,2.03,6.43,46.8,-27.2,74.0,3.3,33.5,-30.8,64.3,2.9,186,2,Hip,2.6,0.063,0,5.9
43,Jun 04 '88,Pittsburgh,PA,USA,US,73,196,L,2008,7,190,,26,Matt,Bartkowski,BOS,BOS,,D,47,0,4,4,4,-6,67,43,33,0.0%,0.0%,796.2,16.9,1050,22.3,0.76,59,4.41,0.0%,16.7%,16.7%,0,0,0.0%,.0,,,56,88,24,43,25,6,4.2,6.6,1.8,3.2,1.9,0.5,37,6,3,0,1,0,152,2.4,,, ,,0,17,0,0,0,0,0,0,0%,-0.6,1.2,0.7,0.01,0.05,2,13.5,16.9,-8.7,-1.8,0.8,0.0,-0.9,-0.02,-0.07,0,0,1,0,-0.32,0.39,-6,2.54,-2.23,-5.62,-54.4,-22.1,-32.3,-2.7,-17.6,3.6,-21.2,-1.8,186,,,1.25,0,0,-2.4
64,Feb 17 '88,Ottawa,ON,CAN,CA,72,203,L,,,,,26,Victor,Bartley,NSH,NSH,,D,37,0,10,7,10,1,28,17,20,0.0%,0.0%,497.1,13.4,635,17.2,0.78,78,9.46,0.0%,50.0%,50.0%,0,0,0.0%,.0,,,39,77,53,17,9,2,4.7,9.3,6.4,2.1,1.1,0.2,26,8,2,0,0,0,158,-3.8,,, ,,0,10,0,0,0,0,0,0,0%,0.5,1.1,1.6,0.04,0.19,3,9.6,13.3,-2.2,1.2,1.7,0.0,2.9,0.08,0.35,0,0,0,0,-0.59,-0.38,-1.94,-1.5,-1,-5.41,-14.7,40.6,-55.3,-7.1,3.3,30.7,-27.4,-3.5,186,,,0.667,0,0,2.7
