,DOB,Birth City,S/P,Cntry,Nat,Ht,Wt,Sh,Dft Yr,Rd,Ovrl,Debut,Seas,nhlID,Last Name,First Name,Team(s),GP,GS,GR,W,L,T,OTL,SA,SV,GA,SV%,GAA,GSAA,GSAA,T-SAX,SAX,MIN,SO,G,A,PTS,PIM,PenT,PenD,PenDf,SH%,Supp,QoC,QoS,StMin,StSV,StGA,StSV%,StGAA,QS,QS,QS%,RBS,Pull,ReMin,ReSV,ReGA,ReSV%,ReGAA,HP S,HP G,HP SV%,HighS,HighG,HighSV%,MedS,MedG,LowS,LowG,AdjSV%,EVSA,EVGA,EV SV%,PP SA,PP GA,PP SV%,SH SA,SH GA,SH SV%,AdjSV%,CA,FA,SA,xGA,GA,SCA,HDCA,HDGA,TrueSV%,ExpSV%,xGSAA,ZS%,OZS,DZS,NZS,CF,FF,SF,GF,SCF,HDCF,HDGF,SOS,SOG,SO SV%,SOW,SOL,NMC,Status,Salary,Cap Hit,GVA,Pace,GPS,Ginj,Injuries,CHIP,GP,GS,W,L,OTL,GA,SA,SO,PIM,MIN,QS,RBS,GPS
11,1990/04/27,Holliston,MA,USA,USA,74,195,L,,,,2015,3,8477237,Condon,Mike,OTT,31,26,5,5,17,0,5,898,810,88,.902,3.25,-10.3,-9.6,-10.1,-5.5,97585,0,0,2,2,0,0,1,1,7.0%,2.07,8.65%,8.33,1465.1,719,77,.903,3.15,13,13,50.0%,6,3,161.3,91,11,.892,4.09,,,,182,42,.769,340,33,376,13,.898,761,62,.919,114,24,.789,23,2,.913,.899,1679,1235,898,78.4,88,320,320,47,.929,.913,-9.6,48.0%,535,579,494,1506,1092,800,56,691,265,28,14,7,.750,0,3,,UFA,"$1,700,000","$2,400,000",18,117.5,4.0,3,Concussion,88,127,115,45,56,17,325,3478,6,4,7073,56,22,17.4
12,1990/03/19,Lulea,,SWE,SWE,78,229,L,2009,3,62,2011,5,8475195,Nilsson,Anders,VAN,27,24,3,7,14,0,4,850,766,84,.901,3.44,-10.4,-4.8,-8.3,-6.2,87821,2,0,1,1,0,0,0,0,8.6%,2.62,8.96%,8.85,1356.2,709,80,.899,3.54,8,8,33.3%,5,3,107.5,57,4,.934,2.23,,,,202,39,.807,324,31,324,14,.904,692,60,.913,128,21,.836,30,3,.900,.901,1488,1154,850,79.2,84,305,305,44,.927,.907,-4.8,45.1%,462,562,471,1314,1009,740,64,647,245,41,4,3,.927,0,1,,UFA,"$3,000,000","$2,500,000",9,114.9,3.7,4,Illness,195,105,91,36,46,12,295,3156,4,6,5767,38,16,15.9
13,1993/12/18,Lakeville,MN,USA,USA,73,182,R,,,,2015,3,8479292,Lindgren,Charlie,MTL,14,14,0,4,8,0,2,457,415,42,.908,3.03,-2.5,0.6,-1.7,-15.7,49978,2,0,0,0,2,1,0,-1,5.5%,1.80,8.81%,9.09,833.0,415,42,.908,3.03,9,9,64.3%,5,1,0.0,0,0,.000,0.00,,,,117,26,.778,157,14,183,2,.913,375,28,.925,73,12,.836,9,2,.778,.908,846,645,457,42.6,42,197,197,32,.935,.907,.6,52.7%,314,282,275,848,616,451,25,394,171,17,6,2,.882,0,1,,UFA,"$700,000","$700,000",11,122.0,2.3,,,,17,17,7,8,2,47,544,2,2,1015,12,5,3.1
14,1984/11/28,Sorel,QC,CAN,CAN,74,180,L,2003,1,1,2003,14,8470594,Fleury,Marc-Andre,VGK,46,46,0,29,13,0,4,1376,1276,100,.927,2.24,19.1,15.0,19.7,21.0,160404,4,0,1,1,6,3,3,0,9.4%,3.01,8.70%,8.69,2673.4,1276,100,.927,2.24,31,30,65.2%,4,3,0.0,0,0,.000,0.00,,,,265,55,.792,525,34,564,11,.921,1173,81,.931,176,17,.903,27,2,.926,.927,2514,1909,1376,115.0,100,477,477,61,.948,.916,15.0,52.6%,956,862,813,2682,1986,1428,134,1302,429,62,13,4,.935,1,2,"M-NTC, NMC",UFA,"$5,750,000","$5,750,000",23,116.6,9.9,4,Undisclosed,195,737,582,404,229,72,1813,20863,48,62,42442,319,78,130.2
15,1992/04/15,Moncton,NB,CAN,CAN,73,200,L,2010,2,49,2014,4,8475717,Pickard,Calvin,TOR,1,1,0,0,0,0,1,28,24,4,.857,3.83,-1.6,-2.3,-1.3,-1.6,3755,0,0,0,0,0,0,0,0,6.5%,1.92,9.69%,10.07,62.6,24,4,.857,3.83,0,0,0.0%,0,0,0.0,0,0,.000,0.00,,,,2,0,1.000,13,3,13,1,.883,21,3,.857,7,1,.857,0,0,.000,.833,58,44,28,1.7,4,7,7,1,.909,.940,-2.3,46.7%,21,24,23,54,38,31,2,22,9,0,,, ,,,,RFA,"$1,075,000","$1,000,000",0,107.4,0.0,,,,87,75,28,44,7,221,2539,3,2,4763,38,13,14.8
16,1987/07/05,Caledonia,ON,CAN,CAN,76,200,L,,,,2013,5,8475660,Talbot,Cam,EDM,67,67,0,31,31,0,3,2036,1848,188,.908,3.02,-11.8,5.2,-8.5,-29.3,223806,1,0,1,1,8,4,1,-3,8.3%,2.69,8.82%,8.55,3729.6,1848,188,.908,3.02,32,33,49.3%,11,8,0.5,0,0,.000,0.00,,,,493,103,.791,746,67,785,17,.911,1725,146,.915,263,40,.848,48,2,.958,.907,3745,2767,2035,192.2,188,809,809,111,.932,.906,4.2,50.9%,1281,1236,1173,3654,2759,2007,167,1882,756,85,13,5,.941,4,0,NMC,UFA,"$4,150,000","$4,166,667",39,119.0,10.3,11,"Illness, Upper body",551,253,246,127,95,21,606,7399,19,12,14553,134,27,47.3
17,1989/07/04,Farmingville,NY,USA,USA,75,195,L,,,,2012,5,8476234,Kinkaid,Keith,NJD,41,38,3,26,10,0,3,1214,1108,106,.913,2.77,-0.9,6.4,-0.8,0.8,137854,1,0,2,2,2,1,2,1,10.1%,3.06,8.65%,8.64,2226.9,1078,104,.912,2.80,19,19,50.0%,4,2,70.7,30,2,.938,1.70,,,,289,59,.796,461,37,464,10,.916,1026,88,.914,155,17,.890,33,1,.970,.912,2271,1716,1214,112.4,106,418,418,62,.938,.907,6.4,45.1%,733,892,727,2075,1614,1158,117,1003,444,75,17,6,.920,3,2,,UFA,"$1,200,000","$1,250,000",15,113.5,6.8,4,Groin,195,110,94,49,37,11,270,3079,4,4,5965,49,13,17.4
18,1983/04/11,St. Louis,MO,USA,USA,74,183,R,2002,6,172,2008,5,8470093,McKenna,Mike,DAL,2,1,1,1,1,0,0,50,45,5,.900,2.96,-0.7,-0.1,-0.6,0.6,6080,0,0,0,0,0,0,0,0,17.1%,4.14,8.92%,8.52,57.2,28,5,.848,5.24,0,0,0.0%,1,0,44.1,17,0,1.000,0.00,,,,10,4,.600,23,1,17,0,.894,41,4,.902,9,1,.889,0,0,.000,.875,95,70,50,4.9,5,20,20,5,.929,.902,-.1,44.6%,25,31,28,88,63,41,7,47,20,3,,, ,,,,UFA,"$650,000","$650,000",0,108.4,0.2,,,,24,20,6,12,2,73,660,1,0,1274,4,7,2.3
19,1991/07/24,Gothenburg,,SWE,SWE,76,245,L,2009,2,46,2010,8,8475215,Lehner,Robin,BUF,53,50,3,14,26,0,9,1560,1417,143,.908,3.01,-8.0,-10.7,-5.7,-14.5,171121,3,0,0,0,2,1,0,-1,7.0%,2.10,8.81%,8.45,2759.2,1373,140,.907,3.04,24,24,48.0%,8,9,92.8,44,3,.936,1.94,,,,319,73,.771,549,51,693,19,.903,1279,109,.915,228,27,.882,53,7,.868,.909,2770,2112,1561,132.4,143,522,522,76,.932,.915,-10.7,50.3%,962,949,878,2476,1917,1433,100,1074,426,54,10,4,.926,1,2,,RFA,"$4,000,000","$4,000,000",27,110.4,8.0,4,Undisclosed,195,219,205,72,97,35,573,6780,8,22,12209,114,26,41.7
20,1992/12/09,Baudette,MN,USA,USA,73,201,L,,,,2017,1,8479312,Lyon,Alex,PHI,11,7,4,4,2,0,1,232,210,22,.905,2.75,-1.9,-0.7,-2.3,0.0,28788,0,0,0,0,0,0,0,0,10.8%,3.38,8.47%,7.6,362.4,151,20,.883,3.31,3,3,42.9%,2,2,117.4,59,2,.967,1.02,,,,54,11,.796,95,10,83,1,.910,204,19,.907,22,3,.864,6,0,1.000,.903,435,329,232,21.3,22,82,82,16,.933,.908,-.7,47.9%,136,148,163,486,352,249,27,233,90,13,3,1,.923,0,1,,RFA,"$874,125","$874,125",4,115.2,1.1,,,,11,7,4,2,1,22,232,0,0,480,3,2,1.1
21,1991/07/13,Repentigny,QC,CAN,CAN,73,177,L,2009,4,95,2015,3,8475234,Berube,J-F,CHI,13,10,3,3,6,0,1,398,356,42,.894,3.78,-7.6,4.5,-7.9,-2.3,40043,0,0,0,0,0,0,0,0,9.1%,2.70,8.36%,8.645,546.5,306,36,.895,3.95,3,3,30.0%,3,2,120.9,50,6,.893,2.98,,,,102,25,.755,130,14,166,3,.898,326,31,.905,65,10,.846,7,1,.857,.895,715,539,398,37.8,42,166,166,27,.922,.905,-4.2,45.5%,208,249,238,617,445,331,30,309,106,18,,, ,,,,UFA,"$700,000","$700,000",5,119.8,1.4,,,,34,23,9,10,4,90,879,0,0,1593,10,6,3.5
22,1982/03/22,Kingston,ON,CAN,CAN,76,215,L,2001,5,161,2006,12,8469608,Smith,Mike,CGY,55,55,0,25,22,0,6,1686,1545,141,.916,2.65,4.9,13.8,7.8,6.3,191436,3,0,2,2,8,4,6,2,7.4%,2.43,8.82%,8.75,3190.6,1545,141,.916,2.65,32,32,58.2%,9,6,0.0,0,0,.000,0.00,,,,379,76,.799,625,40,682,25,.916,1363,106,.922,271,30,.889,52,5,.904,.917,3083,2379,1686,154.8,141,598,598,78,.941,.908,13.8,51.4%,1130,1067,1041,3363,2503,1734,129,1622,654,73,18,8,.890,2,3,M-NTC,UFA,"$6,000,000","$5,666,667",42,121.2,10.2,4,Undisclosed,195,529,493,220,220,66,1360,15638,36,117,30276,264,79,94.5
23,1989/05/12,Rauma,,FIN,FIN,72,195,L,,,,2013,5,8477293,Raanta,Antti,ARI,47,46,1,21,17,0,6,1388,1291,97,.930,2.24,23.1,20.0,24.1,18.3,155947,3,0,0,0,0,0,4,4,8.6%,2.52,8.72%,8.55,2579.6,1279,97,.930,2.26,32,31,67.4%,6,5,19.5,12,0,1.000,0.00,,,,299,51,.829,466,31,613,14,.928,1155,73,.937,199,21,.894,34,3,.912,.930,2639,2030,1388,116.0,97,534,534,61,.952,.916,19.0,46.8%,830,944,796,2445,1775,1271,109,1195,477,58,21,9,.845,1,5,,UFA,"$1,000,000","$1,000,000",4,117.4,10.4,4,Upper body,195,141,124,68,40,15,289,3699,11,0,7550,82,18,25
24,1984/12/31,Montreal,QC,CAN,CAN,74,216,L,2003,2,52,2005,11,8470645,Crawford,Corey,CHI,28,27,1,16,9,0,2,842,782,60,.929,2.27,12.9,17.6,14.0,9.0,95010,2,0,0,0,0,0,3,3,9.4%,3.26,8.78%,8.74,1553.5,775,59,.929,2.28,17,17,63.0%,3,2,30.0,7,1,.875,2.00,,,,206,30,.854,310,23,326,7,.931,681,45,.934,131,12,.908,30,3,.900,.929,1517,1157,842,77.6,60,329,329,35,.948,.908,17.6,56.1%,629,492,527,1689,1198,915,86,824,290,47,,, ,,,"M-NTC, NMC",UFA,"$6,000,000","$6,000,000",16,121.5,6.2,4,Upper body,195,409,395,230,124,45,930,11454,23,18,23567,238,49,75.4
25,1983/11/16,Helsinki,,FIN,FIN,76,209,L,2002,1,2,2003,14,8470140,Lehtonen,Kari,DAL,37,30,7,15,14,0,3,946,863,83,.912,2.56,-1.1,-6.3,1.4,0.1,116658,1,0,0,0,4,2,2,0,9.0%,2.75,8.89%,8.72,1694.0,752,69,.916,2.44,19,19,63.3%,7,3,250.3,111,14,.888,3.36,,,,181,34,.812,338,33,427,16,.906,751,53,.929,164,25,.848,31,5,.839,.915,1786,1322,946,76.8,83,308,308,38,.937,.919,-6.3,46.7%,612,698,695,1795,1318,988,89,894,353,45,12,5,.889,2,2,M-NTC,UFA,"$5,000,000","$5,900,000",10,110.5,5.3,,,,649,512,310,233,67,1662,18920,38,42,36838,286,80,116
26,1996/02/10,Ruse,,BGR,RUS,73,180,L,,,,2017,1,8480382,Georgiev,Alexandar,NYR,10,9,1,4,4,0,1,331,304,27,.918,3.15,1.6,2.4,0.6,0.0,30886,0,0,0,0,0,0,0,0,11.6%,3.26,8.25%,7.67,489.3,291,26,.918,3.19,5,5,55.6%,1,1,25.5,13,1,.929,2.35,,,,76,15,.803,115,10,140,2,.918,285,22,.923,42,5,.881,4,0,1.000,.919,563,437,331,29.4,27,125,125,15,.938,.911,2.4,44.6%,152,189,168,454,340,241,28,212,98,18,,, ,,,,RFA,"$792,500","$792,500",9,118.5,2.1,1,Flu,11,10,9,4,4,1,27,331,0,0,515,5,1,2.1
27,1987/08/16,Anahim Lake,BC,CAN,CAN,75,215,L,2005,1,5,2007,11,8471679,Price,Carey,MTL,49,48,1,16,26,0,7,1487,1339,148,.900,3.11,-19.3,-21.7,-17.8,-29.2,171277,1,0,0,0,0,0,3,3,7.6%,2.50,8.75%,8.79,2804.5,1314,145,.901,3.10,21,22,45.8%,10,2,50.1,25,3,.893,3.59,,,,302,75,.752,537,56,642,17,.895,1226,112,.909,218,33,.849,43,3,.930,.900,2810,1997,1487,126.3,148,469,469,82,.926,.915,-21.7,50.2%,957,950,972,2871,2086,1558,119,1370,577,76,12,3,.961,2,2,NMC,UFA,"$7,000,000","$6,500,000",35,119.4,6.4,14,"Concussion, Lower body",988,558,548,286,201,62,1351,16545,40,43,32908,317,73,110.7
28,1984/03/26,Syracuse,NY,USA,USA,73,218,L,2003,2,64,2005,12,8470657,Howard,Jimmy,DET,60,57,3,22,27,0,9,1770,1610,160,.910,2.85,-6.8,2.9,-4.0,-10.4,202057,1,0,1,1,10,5,3,-2,8.1%,2.39,8.82%,8.61,3287.9,1580,152,.912,2.77,28,28,49.1%,6,4,79.7,30,8,.789,6.02,,,,385,85,.779,652,54,704,19,.909,1456,122,.916,275,36,.869,39,2,.949,.910,3203,2408,1770,160.9,160,609,609,88,.934,.909,.9,48.3%,1153,1234,1070,2983,2315,1656,134,1425,532,74,21,2,.973,4,1,M-NTC,UFA,"$5,000,000","$5,291,667",31,110.2,9.4,4,Lower body,195,461,439,221,151,63,1091,12787,24,34,26332,239,61,78.8
29,1983/05/23,London,ON,CAN,CAN,74,200,L,2002,6,176,2007,10,8470147,McElhinney,Curtis,TOR,18,15,3,11,5,0,1,528,493,35,.934,2.14,10.7,11.6,9.7,14.9,58747,3,0,1,1,0,0,0,0,9.8%,3.19,8.41%,7.44,891.4,456,32,.934,2.15,8,8,53.3%,1,0,87.7,37,3,.925,2.05,,,,117,17,.855,191,14,201,3,.934,428,22,.949,90,12,.867,10,1,.900,.935,932,744,528,45.6,35,177,177,17,.953,.914,10.6,50.2%,324,322,312,969,743,533,52,508,188,26,2,0,1.000,1,0,,UFA,"$850,000","$850,000",10,116.5,4.2,2,Lower body,21,186,134,62,71,13,441,4824,8,2,9240,62,19,26
30,1992/01/09,Port Huron,MI,USA,USA,74,197,L,2010,1,11,2013,3,8475789,Campbell,Jack,LAK,5,4,1,2,0,0,2,145,134,11,.924,2.48,1.5,-2.0,2.0,5.7,15997,0,0,0,0,0,0,1,1,10.2%,2.93,9.10%,8.57,246.6,123,8,.939,1.95,2,3,75.0%,0,0,20.0,11,3,.786,9.00,,,,15,2,.867,58,8,60,1,.912,110,11,.900,23,0,1.000,12,0,1.000,.918,272,194,145,9.0,11,41,41,4,.943,.938,-2.0,47.9%,93,101,80,221,173,128,13,90,33,7,5,2,.714,0,1,,UFA,"$650,000","$612,500",2,110.9,1.0,,,,7,5,2,1,2,17,197,0,0,347,2,0,1.1
31,1987/03/10,Savonlinna,,FIN,FIN,75,176,L,2005,1,21,2007,11,8471695,Rask,Tuukka,BOS,54,53,1,34,14,0,5,1513,1388,125,.917,2.36,5.9,6.5,8.7,-8.1,190385,3,0,2,2,4,2,4,2,10.1%,3.20,8.83%,8.63,3140.4,1378,124,.917,2.37,30,31,58.5%,6,2,32.7,10,1,.909,1.84,,,,331,66,.801,553,43,630,16,.916,1233,94,.924,228,24,.895,52,7,.865,.918,2769,2106,1514,131.5,125,530,530,68,.941,.913,6.4,54.5%,1204,1004,1055,3067,2325,1679,169,1569,545,88,11,4,.955,2,1,M-NTC,UFA,"$7,500,000","$7,000,000",14,110.4,9.3,2,Concussion,171,449,429,238,137,53,969,12440,41,20,25773,261,60,86.8
32,1993/03/23,Port Alberni,BC,CAN,CAN,75,204,L,2011,6,164,2014,4,8476316,Brossoit,Laurent,EDM,14,10,4,3,7,0,1,343,303,40,.883,3.24,-10.3,-6.7,-10.8,-9.3,44414,0,0,1,1,0,0,0,0,8.5%,2.92,8.60%,7.94,597.8,240,30,.889,3.01,5,5,50.0%,2,0,142.4,63,10,.863,4.21,,,,85,16,.812,135,21,124,3,.890,276,26,.906,52,12,.769,15,2,.867,.885,661,465,344,33.3,40,145,145,20,.914,.903,-6.7,56.1%,282,221,246,793,598,426,36,410,148,22,3,1,.955,0,1,,UFA,"$850,000","$750,000",8,117.9,0.8,,,,28,20,7,13,2,71,689,0,0,1432,9,4,2.7
33,1992/08/14,Brampton,ON,CAN,CAN,74,195,L,2010,3,84,2015,2,8475809,Wedgewood,Scott,ARI,20,17,3,5,9,0,4,587,524,63,.893,3.45,-12.2,-8.0,-10.8,-37.7,65790,1,0,0,0,2,1,1,0,8.2%,2.24,8.85%,8.39,990.7,488,57,.895,3.45,7,6,35.3%,4,2,105.8,36,6,.857,3.40,,,,149,35,.765,204,23,234,5,.897,520,51,.902,51,9,.824,16,3,.813,.888,1141,877,587,55.1,63,240,240,38,.928,.906,-8.0,44.4%,341,427,368,1001,732,501,41,475,201,19,,, ,,,,UFA,"$650,000","$650,000",5,117.2,2.0,,,,24,21,7,10,5,68,703,2,2,1338,10,4,3.3
34,1987/08/31,Kladno,,CZE,CZE,75,212,L,2005,2,41,2007,11,8471715,Pavelec,Ondrej,NYR,19,12,7,4,9,0,1,510,464,46,.910,3.05,-1.9,6.2,0.8,1.5,54222,1,0,0,0,2,1,1,0,8.3%,2.59,9.11%,8.94,648.5,335,35,.905,3.24,5,6,50.0%,3,2,255.2,129,11,.921,2.59,,,,130,27,.792,210,14,170,5,.917,428,34,.921,71,9,.873,11,3,.727,.908,921,699,510,52.2,46,213,213,28,.934,.898,6.2,49.0%,303,315,279,839,640,468,39,452,226,23,5,2,.913,1,1,,UFA,"$1,300,000","$1,300,000",4,116.9,2.7,4,Knee,195,398,374,156,167,48,1069,11494,18,12,22302,170,66,60.9
35,1994/06/20,Rancho Cucamonga,CA,USA,USA,74,200,L,,,,2017,1,8480420,Delia,Collin,CHI,2,2,0,1,1,0,0,63,56,7,.889,3.96,-1.5,-2.5,-0.8,0.0,6359,0,0,0,0,2,1,0,-1,9.2%,3.40,9.78%,8.83,106.0,56,7,.889,3.96,1,0,0.0%,0,1,0.0,0,0,.000,0.00,,,,9,2,.778,20,4,34,1,.864,58,4,.931,4,3,.250,1,0,1.000,.832,109,74,63,4.5,7,18,18,2,.905,.929,-2.5,56.1%,37,29,31,106,78,65,6,59,24,4,,, ,,,,RFA,"$742,500","$767,500",0,121.7,0.2,,,,2,2,1,1,0,7,63,0,2,106,1,0,0.2
