#,DOB,Birth City,S/P,Ctry,HT,Wt,S,Rk,Age,BTN Code,Last Name,First Name,End Team,Teams,Pos,GP,G,A,PTS,+/-,Sh,Sh%,TOI,TOI/G,Shifts,Sh/G,TOI/Sh,Passes,Pa/60,IGP,IAP,IPP,FO,FOW,FOL,FO%,%Tm,Hits,BkS,MsS,GvA,TkA,H/60,B/60,M/60,G/60,T/60,PIM,Minor,Major,Misc,G Misc,Match,NetPen,ESTOI,ESTOI/G,55TOI/G,55TOF/G,ES%,ESG,ESA1,ESA2,ESA,ESP,ESP/60,ESPass,ESIGP,ESIAP,ESIPP,ESFO,ESFOW,ESFOL,ESFO%,ESOZFOW,ESOZFOL,ESOZ%,ESDZFOW,ESDZFOL,ESDZ%,ESNZFOW,ESNZFOL,ESNZ%,OZ%,OZRk,ESOZF,ESDZF,ESNZF,TOI QoC,RCQoC,QoCRk,CQoC ,RCQoT,CQoT ,ESOISH%,ESOISV%,PDO,SPD,TmESGF/60,TmESGA/60,TmESSF/60,TmESSA/60,TmESCF/60,TmESCA/60,Corsi,TmESGF,TmESGA,TmESSVA,TmESSVF,TmESMF,TmESMA,TmESBF,TmESBA,Adj Corsi,oTmESGF/60,oTmESGA/60,oTmESSF/60,oTmESSA/60,oTmESCF/60,oTmESCA/60,RelC,oTmESGF,oTmESGA,oTmESSVA,oTmESSVF,oTmESMF,oTmESMA,oTmESBF,oTmESBA,ESPenT,ESPenD,ESPPD,ESPenT/60,ESPenD/60,ESPPD/60,PPTOI,PPTOI/G,54TOI/G,54TOF/G,PP%,PPG,PPA1,PPA2,PPA,PPP,PPP/60,PPPass,PPIGP,PPIAP,PPIPP,PPFO,PPFOW,PPFOL,PPFO%,TmPPGF,TmPPGA,TmPPSVA,TmPPSVF,TmPPMF,TmPPMA,TmPPBF,TmPPBA,PPPenT,PPPenD,SHTOI,SHTOI/G,45TOI/G,45TOF/G,SH%,SHG,SHA1,SHA2,SHA,SHP,SHPass,SHFO,SHFOW,SHFOL,SHFO%,TmSHGF,TmSHGA,TmSHSVA,TmSHSVF,TmSHMF,TmSHMA,TmSHBF,TmSHBA,SHPenT,SHPenD,tmGF,tmPPGF,tmGA,tmPPGA,SOS,SOG,SO%,SOGDG,1G,OTG,GWG,ENG,PSG,PST,PS%,DIA,OPS,DPS,PS,PS/G,PS/60,OGIT,DIT,RPM,OGVT,DGVT,SGVT,GVT,GVT/G,GVT/60,Full,LTIR,SOIR,Ginj,Injury,Cap Cost,Bonuses,GVS
21,Mar 17 '79,Edmonton,AB,CAN,71,189,L,,34,ANDREWFERENCE,Ference,Andrew,BOS,BOS,D,48,4,9,13,9,66,6.1%,935.5,19.5,1199,25.0,0.78,55,3.52,11.1%,25.0%,36.1%,#VALUE!, , ,#VALUE!,0.0,89,60,37,31,5,5.7,3.8,2.4,2.0,0.3,35,14,1,0,0,0,-3.5,821.0,17.1,16.57,32.56,33.7%,4,4,4,8,12,0.88,47,11.8%,23.5%,35.3%, ,,, ,129,112,32.3%,147,91,31.9%,140,127,35.8%,50.3%,4,279,252,260,15.21339214,-0.032,4,-1.042,-0.742,9.324,8.5%,.927,936,1.2%,2.56,2.11,30.10,29.04,58.99,53.79,5.21,34,28,365,357,152,141,187,231,-5.33,2.57,2.00,33.86,27.79,64.34,51.29,-7.8,67,52,815,672,362,268,344,432,11,3,-8,0.80,0.22,-0.58,7.5,0.2,0.16,3.99,3.9%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%, ,,, ,0,0,4,0,4,0,0,2,0,1,107.0,2.2,2.09,3.47,37.6%,0,1,0,1,1,8, ,,, ,2,7,14,61,6,38,24,1,1,0,38,0,36,7,,, ,,0,0,0,0,0,0, ,6,0.8,2.7,3.5,0.07,0.22,16.9,21.5,0.4,1.5,3.3,0,4.7,0.10,0.30,99,0,0,,,"$2,250,000",$0,1.6
36,Apr 29 '87,Boston,MA,USA,71,195,R,,26,BENNFERRIERO,Ferriero,Benn,NYR,NYR,C,4,0,1,1,0,4,0.0%,38.4,9.6,53,13.3,0.73,28,43.71,0.0%,100.0%,100.0%,9,2,7,22.2%,3.4,4,2,4,1,2,6.2,3.1,6.2,1.6,3.1,0,0,0,0,0,0,-0.1,35.9,9.0,8.98,38.02,19.1%,0,1,0,1,1,1.67,28,0.0%,100.0%,100.0%,9,2,7,22.2%,5,6,39.3%,3,5,28.6%,3,6,32.1%,57.9%,8,16,11,11,16.03710846,2.031,1,-5.694,-1.549,2.331,3.6%,.909,913,-5.5%,1.67,1.67,46.77,18.37,75.17,40.09,35.08,1,1,27,10,9,5,8,8,25.07,3.16,1.18,30.77,27.22,53.26,49.71,31.5,8,3,70,66,25,28,29,32,0,0,0,0.00,0.00,0.00,1.8,0.4,0.44,4.97,8.1%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%, ,0,0, ,0,0,1,0,0,0,0,0,0,0,0.8,0.2,0.19,6.08,3.0%,0,0,0,0,0,0, ,0,0, ,0,0,0,1,0,0,1,0,0,0,1,0,1,0,,, ,,0,0,0,0,0,0, ,4,0.0,0.0,0.1,0.03,0.16,0.7,0.7,-0.2,0,0.1,0,0.1,0.03,0.16,9,0,0,,,"$63,636",$0,0.1
38,May 09 '80,Edmonton,AB,CAN,71,197,L,,33,VERNONFIDDLER,Fiddler,Vernon,DAL,DAL,C,46,4,13,17,3,56,7.1%,591.3,12.9,885,19.2,0.67,100,10.10,19.0%,61.9%,81.0%,619,319,300,51.5%,22.3,34,28,23,8,18,3.5,2.8,2.3,0.8,1.8,48,19,2,0,0,0,-7.0,461.2,10.0,9.86,37.12,21.0%,3,9,2,11,14,1.82,87,16.7%,61.1%,77.8%,441,248,193,56.2%,46,52,20.2%,125,96,45.7%,99,66,34.1%,30.7%,1,158,202,162,15.2777622,0.758,3,1.304,-3.725,-5.532,10.4%,.930,940,3.4%,2.38,2.12,22.89,30.16,46.96,59.53,-12.57,18,16,155,212,74,101,121,108,-1.19,2.64,2.64,27.13,29.45,55.62,55.06,-13.1,75,75,697,763,350,356,373,461,12,7,-5,1.56,0.91,-0.65,20.3,0.4,0.44,5.29,7.7%,1,0,1,1,2,5.9,0,50.0%,50.0%,100.0%,22,10,12,45.5%,2,0,8,1,8,5,2,8,0,0,109.8,2.4,2.28,3.63,38.6%,0,1,0,1,1,13,156,61,95,39.1%,1,14,12,82,8,49,56,1,1,0,21,2,31,15,,, ,,0,0,0,0,0,0, ,5,0.7,0.7,1.4,0.03,0.14,10.5,14.7,3.4,1.8,2.3,0,4.1,0.09,0.42,99,0,0,2,Charley horse,"$1,800,000",$0,1.8
51,Mar 20 '84,Vantaa,,FIN,72,195,L,,29,VALTTERIFILPPULA,Filppula,Valtteri,DET,DET,C,41,9,8,17,-4,78,11.5%,728.8,17.8,917,22.4,0.79,101,8.31,40.9%,36.4%,77.3%,323,179,144,55.4%,13.8,16,12,36,19,18,1.3,1.0,3.0,1.6,1.5,6,3,0,0,0,0,6.1,592.3,14.4,13.82,33.25,29.4%,6,6,2,8,14,1.42,101,33.3%,44.4%,77.8%,229,122,107,53.3%,109,102,39.1%,78,69,27.2%,89,93,33.7%,58.9%,9,203,191,156,16.11650768,0.908,4,0.203,0.638,7.741,5.9%,.920,925,-2.1%,1.91,2.22,32.08,27.64,59.83,47.33,12.50,18,21,285,240,121,84,102,141,2.72,2.29,1.94,29.00,27.02,54.71,47.49,5.3,52,44,607,570,282,204,261,302,3,10,7,0.30,1.01,0.71,111.5,2.7,2.68,3.6,42.7%,3,0,0,0,3,1.6,0,75.0%,0.0%,75.0%,91,56,35,61.5%,4,2,57,14,38,6,5,49,0,0,25.0,0.6,0.61,4.77,11.3%,0,0,0,0,0,0,3,1,2,33.3%,0,4,4,15,4,9,6,0,0,0,23,4,27,4,1,0,0%,0,1,0,0,0,0,0, ,4,0.8,0.7,1.6,0.04,0.13,13.2,13.7,-6.2,1.5,1.3,-0.3,2.5,0.06,0.21,99,0,0,7,Shoulder,"$3,000,000",$0,-1.9
52,Jun 29 '87,Edina,MN,USA,80,249,L,Y,26,JOEFINLEY,Finley,Joe,NYI,NYI,D,16,0,1,1,-5,2,0.0%,191.3,12.0,254,15.9,0.75,0,0.00,0.0%,50.0%,50.0%,#VALUE!, , ,#VALUE!,0.1,24,15,2,6,3,7.5,4.7,0.6,1.9,0.9,20,5,2,0,0,0,-2.1,187.4,11.7,11.71,37.27,23.9%,0,0,1,1,1,0.32,0,0.0%,50.0%,50.0%, ,,, ,19,32,30.4%,26,24,29.8%,37,30,39.9%,50.5%,2,49,66,44,14.96668522,-1.619,8,-0.104,0.259,-0.02,3.6%,.929,933,-3.5%,0.64,1.92,17.93,27.22,42.27,54.12,-11.85,2,6,54,79,30,36,48,46,-12.14,3.22,3.22,33.20,29.98,58.86,56.45,-14.3,32,32,298,266,101,106,157,154,4,1,-3,1.28,0.32,-0.96,0.1,0.0,0.01,4.71,0.2%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%, ,,, ,0,0,0,0,0,0,0,0,0,0,3.8,0.2,0.21,5.04,4.0%,0,0,0,0,0,0, ,,, ,0,2,0,1,0,0,2,0,0,0,1,0,8,2,,, ,,0,0,0,0,0,0, ,2,-0.1,0.0,-0.2,-0.01,-0.06,2.3,3.2,-4.9,-0.2,-0.3,0,-0.5,-0.03,-0.16,99,0,0,7,Undisclosed,"$537,500",$0,-0.6
12,Jun 05 '80,Peterborough,ON,CAN,73,215,R,,33,MIKEFISHER,Fisher,Mike,NSH,NSH,C,38,10,11,21,6,68,14.7%,739.6,19.5,977,25.7,0.76,59,4.77,31.3%,34.4%,65.6%,563,275,288,48.8%,25.3,67,46,33,13,23,5.4,3.7,2.7,1.1,1.9,27,10,1,0,0,0,-1.0,581.3,15.3,14.6,34.14,30.0%,9,4,1,6,15,1.55,46,45.0%,30.0%,75.0%,427,205,222,48.0%,75,68,25.8%,115,117,41.8%,79,101,32.4%,38.1%,2,175,234,167,16.10573443,1.439,1,1.303,0.685,-5.228,8.7%,.935,944,2.2%,2.16,1.73,24.87,26.60,48.67,53.42,-4.76,20,16,210,230,89,113,135,131,4.53,1.90,2.36,24.60,27.47,45.32,52.77,2.7,41,51,491,543,208,238,309,240,4,7,3,0.41,0.72,0.31,99.1,2.6,2.54,2.48,50.6%,1,2,3,5,6,3.6,13,8.3%,41.7%,50.0%,88,50,38,56.8%,12,0,65,7,21,5,3,30,2,0,59.2,1.6,1.54,3.32,31.7%,0,0,0,0,0,0,48,20,28,41.7%,0,10,4,21,4,17,25,0,2,1,34,12,26,10,2,0,0%,0,1,0,0,0,0,0, ,7,1.4,1.1,2.5,0.07,0.20,14.3,13.6,9.6,2.5,2,-0.6,3.9,0.10,0.32,99,0,0,10,Hand,"$4,200,000",$0,-2.6
45,Jun 01 '86,Edmonton,AB,CAN,74,233,L,,27,MARKFISTRIC,Fistric,Mark,EDM,EDM,D,25,0,6,6,6,9,0.0%,383.3,15.3,514,20.6,0.75,56,8.82,0.0%,46.2%,46.2%,#VALUE!, , ,#VALUE!,0.0,88,53,14,14,6,13.8,8.3,2.2,2.2,0.9,32,11,0,1,0,0,2.9,329.6,13.2,13.13,33.01,28.5%,0,4,2,6,6,1.09,56,0.0%,54.5%,54.5%, ,,, ,40,45,28.5%,40,61,33.9%,54,58,37.6%,45.7%,2,109,113,101,15.30224514,-0.689,7,0.208,-0.84,-12.137,7.1%,.945,952,1.6%,2.01,1.46,28.33,26.50,50.81,57.94,-7.13,11,8,144,137,63,63,109,60,6.16,2.40,3.27,26.83,34.90,49.44,63.40,6.8,33,45,336,435,142,182,210,169,8,10,2,1.46,1.82,0.36,1.5,0.1,0.06,5.46,1.1%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%, ,,, ,0,0,0,0,0,1,1,0,0,0,52.3,2.1,2.06,4.6,30.9%,0,0,0,0,0,0, ,,, ,2,3,9,43,1,15,25,3,1,0,13,0,10,3,,, ,,0,0,0,0,0,0, ,6,0.2,1.4,1.6,0.06,0.25,5.6,7.5,6.7,0.8,1.5,0,2.3,0.09,0.36,99,0,0,10,"Back, Elbow","$1,475,000",$0,0.6
14,May 16 '84,Koprivnice,,CZE,73,192,L,,29,TOMASFLEISCHMANN,Fleischmann,Tomas,FLA,FLA,LW/RW,48,12,23,35,-10,121,9.9%,899.2,18.7,1169,24.4,0.77,121,8.07,26.7%,51.1%,77.8%,20,10,10,50.0%,0.7,29,10,38,26,27,1.9,0.7,2.5,1.7,1.8,16,8,0,0,0,0,1.8,739.7,15.4,14.95,34.25,30.4%,9,7,5,12,21,1.70,76,29.0%,38.7%,67.7%,16,7,9,43.8%,130,118,34.8%,105,90,27.3%,133,137,37.9%,56.0%,5,252,231,237,16.28710868,0.896,3,0.507,-1.255,-2.619,9.2%,.907,917,-0.1%,2.59,3.01,28.26,32.53,52.84,53.85,-1.00,31,36,307,353,122,126,129,172,0.60,1.53,3.18,29.12,30.29,53.03,55.29,1.3,42,87,756,743,299,310,375,356,7,10,3,0.57,0.81,0.24,117.7,2.5,2.28,2.45,48.2%,2,7,3,11,13,6.6,45,15.4%,84.6%,100.0%,1,1,0,100.0%,13,1,70,13,22,5,1,31,0,0,41.8,0.9,0.87,4.26,17.0%,1,0,0,0,1,0,3,2,1,66.7%,1,6,4,27,2,10,10,2,0,0,47,16,47,6,,, ,,4,0,2,0,0,0, ,6,3.0,0.7,3.6,0.08,0.24,20.2,17.7,6.2,5.7,1.5,0,7.2,0.15,0.48,99,0,0,,,"$4,500,000",$0,0.2
65,Jul 26 '88,Lynnfield,MA,USA,73,180,R,Y,25,BRIANFLYNN,Flynn,Brian,BUF,BUF,C/RW,26,6,5,11,6,49,12.2%,381.7,14.7,479,18.4,0.80,20,3.17,40.0%,33.3%,73.3%,60,24,36,40.0%,3.8,10,20,11,3,9,1.6,3.1,1.7,0.5,1.4,0,0,0,0,0,0,4.4,341.0,13.1,12.66,35.38,26.4%,5,2,2,5,10,1.76,20,35.7%,35.7%,71.4%,50,21,29,42.0%,44,49,32.3%,37,50,30.2%,42,66,37.5%,51.7%,9,111,114,97,15.73246118,0.592,10,2.293,-0.168,-11.29,9.9%,.943,953,4.2%,2.55,1.46,25.70,25.52,45.02,51.04,-6.02,14,8,127,132,51,65,75,55,7.08,1.76,2.35,24.66,33.53,46.44,62.49,10.0,27,36,351,478,138,209,235,196,0,3,3,0.00,0.53,0.53,14.6,0.6,0.59,4.81,10.9%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%,2,0,2,0.0%,0,1,6,4,5,2,1,2,0,2,26.1,1.0,0.95,4.27,18.2%,1,0,0,0,1,0,8,3,5,37.5%,1,2,3,8,0,2,8,0,0,0,15,0,12,3,,, ,,1,0,1,0,0,0, ,4,0.8,0.6,1.5,0.06,0.24,6.1,6.9,6.1,2.1,1.2,0,3.3,0.13,0.52,58,0,0,,,"$541,919","$100,000",2.9
82,Aug 10 '91,Buffalo,NY,USA,75,226,L,Y,22,MARCUSFOLIGNO,Foligno,Marcus,BUF,BUF,LW,47,5,13,18,-4,55,9.1%,640.5,13.6,789,16.8,0.81,77,7.20,17.9%,46.4%,64.3%,75,45,30,60.0%,2.6,108,16,20,11,18,10.1,1.5,1.9,1.0,1.7,41,13,3,0,0,0,1.1,561.5,11.9,11.84,35.47,25.0%,4,4,4,9,13,1.39,49,17.4%,39.1%,56.5%,66,40,26,60.6%,63,112,35.8%,70,67,28.0%,75,102,36.2%,56.1%,12,208,184,178,15.55910727,-0.074,11,1.325,1.575,-9.082,8.1%,.899,907,-2.0%,2.48,2.80,30.62,27.82,54.99,51.32,3.67,23,26,261,232,102,100,118,124,12.52,2.12,2.34,25.84,33.44,47.33,62.12,18.5,59,65,659,864,250,375,422,347,9,10,1,0.96,1.07,0.11,72.4,1.5,1.54,4.01,27.7%,1,2,1,3,4,3.3,25,25.0%,75.0%,100.0%,9,5,4,55.6%,4,2,45,14,19,2,2,26,0,1,6.6,0.1,0.14,5.39,2.5%,0,1,0,1,1,3, ,0,0, ,1,1,2,5,1,0,1,0,0,0,28,4,29,1,,, ,,0,0,0,0,0,0, ,2,0.8,0.5,1.2,0.03,0.11,15.2,13.6,-1.5,0.3,0.5,0,0.8,0.02,0.07,99,0,0,,,"$790,000","$110,000",0.3
71,Oct 31 '87,Buffalo,NY,USA,72,210,L,,26,NICKFOLIGNO,Foligno,Nick,CBJ,CBJ,LW,45,6,13,19,6,69,8.7%,743.6,16.5,945,21.0,0.79,76,6.13,22.2%,48.1%,70.4%,9,3,6,33.3%,0.3,99,33,18,8,17,8.0,2.7,1.5,0.6,1.4,28,9,2,0,0,0,2.0,650.5,14.5,13.84,34.18,28.8%,5,5,5,11,16,1.48,67,25.0%,55.0%,80.0%,7,2,5,28.6%,81,88,31.5%,94,88,34.0%,95,90,34.5%,48.1%,9,211,207,184,15.80385909,0.539,5,1.314,-1.487,-6.219,7.5%,.947,954,2.1%,1.93,1.54,25.82,28.90,47.21,52.22,-5.01,20,16,248,284,76,104,138,146,2.88,2.18,2.22,24.77,29.84,48.18,53.01,-0.2,56,57,579,708,241,274,320,359,4,8,4,0.37,0.74,0.37,89.2,2.0,1.96,3.48,36.0%,1,1,0,2,3,2.0,9,14.3%,28.6%,42.9%,2,1,1,50.0%,7,0,56,12,35,1,3,40,1,0,3.9,0.1,0.09,4.76,1.9%,0,0,0,0,0,0, ,0,0, ,0,1,1,0,0,0,0,2,0,0,30,8,17,1,,, ,,0,1,2,0,0,0, ,6,0.7,1.2,1.8,0.04,0.15,14.3,11.6,5.8,1,1.5,0,2.6,0.06,0.21,99,0,0,3,Upper body,"$3,083,333",$0,-1.9
9,Aug 13 '94,Ostervala,,SWE,73,186,R,Y,19,FILIPFORSBERG,Forsberg,Filip,NSH,NSH,C/RW,5,0,1,1,-5,14,0.0%,77.4,15.5,103,20.6,0.75,0,0.00,0.0%,100.0%,100.0%,#VALUE!, ,1,#VALUE!,0.3,3,0,4,3,3,2.3,0.0,3.1,2.3,2.3,0,0,0,0,0,0,-0.1,67.4,13.5,13.12,39.09,25.1%,0,0,1,1,1,0.89,0,0.0%,100.0%,100.0%,1,0,1,0.0%,9,6,25.9%,9,13,37.9%,10,11,36.2%,40.5%,3,18,33,22,15.80793147,2,1,2.204,-0.864,-6.657,2.6%,.870,872,-10.4%,0.91,5.49,34.76,42.07,55.79,66.77,-10.98,1,6,37,40,9,14,13,14,0.07,2.76,2.15,26.71,24.87,48.81,50.65,-9.1,9,7,78,74,33,45,39,39,0,0,0,0.00,0.00,0.00,10.0,2.0,2,1.81,52.5%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%, ,0,0, ,0,0,7,0,2,1,0,1,0,0,0.0,0.0,,, ,0,0,0,0,0,0, ,0,0, ,,,0,0,0,0,0,0,0,0,1,0,6,0,,, ,,0,0,0,0,0,0, ,5,-0.1,-0.1,-0.2,-0.04,-0.16,1.4,1.4,-4.7,-0.3,-0.3,0,-0.6,-0.12,-0.47,14,0,0,,,"$168,519","$300,000",-0.8
3,Nov 24 '81,Carp,ON,CAN,77,225,R,,32,KURTISFOSTER,Foster,Kurtis,PHI,PHI,D,23,1,4,5,0,21,4.8%,301.1,13.1,467,20.3,0.64,21,4.13,6.7%,26.7%,33.3%,#VALUE!, , ,#VALUE!,0.0,16,16,13,3,3,3.2,3.2,2.6,0.6,0.6,25,5,1,1,0,0,-2.7,267.7,11.6,11.46,35.27,24.5%,0,2,2,4,4,0.90,21,0.0%,36.4%,36.4%, ,,, ,32,33,26.5%,37,45,33.5%,44,54,40.0%,44.2%,4,90,112,91,14.85131357,-0.311,8,1.129,-1.803,-6.689,9.6%,.928,938,2.5%,2.50,2.73,25.95,38.02,50.76,67.15,-16.39,11,12,103,155,51,64,64,58,-7.27,2.37,2.74,28.70,29.07,53.48,58.58,-11.3,32,37,356,356,139,173,226,196,4,0,-4,0.90,0.00,-0.90,30.9,1.3,1.34,3.87,25.7%,1,0,0,0,1,1.9,0,25.0%,0.0%,25.0%, ,,, ,4,0,19,2,9,1,3,15,0,0,2.5,0.1,0.11,6.09,1.8%,0,0,0,0,0,0, ,,, ,0,0,0,2,1,0,0,1,0,0,16,4,12,0,,, ,,1,0,0,0,0,0, ,2,0.3,0.7,1.0,0.04,0.20,6.7,5.4,1.8,0.5,0.4,0,0.8,0.03,0.16,99,0,0,6,"Undisclosed, Illness","$950,000",$0,0.0
4,Dec 05 '91,Windsor,ON,CAN,73,196,L,,22,CAMFOWLER,Fowler,Cam,ANA,ANA,D,37,1,10,11,-4,50,2.0%,756.3,20.4,827,22.4,0.91,8,0.64,3.2%,32.3%,35.5%,#VALUE!, , ,#VALUE!,0.0,19,41,19,30,5,1.5,3.3,1.5,2.4,0.4,4,2,0,0,0,0,6.0,645.0,17.4,16.82,32.8,33.9%,0,0,5,5,5,0.47,0,0.0%,26.3%,26.3%, ,,, ,90,99,32.8%,88,90,30.8%,105,105,36.4%,51.5%,7,219,206,179,15.26048157,-0.523,6,-0.398,-0.005,-4.757,7.7%,.929,937,0.6%,1.83,2.02,23.91,28.63,50.52,56.01,-5.50,19,21,229,276,117,130,154,159,-1.59,2.82,1.98,29.02,25.96,53.10,54.19,-4.4,57,40,530,485,210,255,316,277,2,4,2,0.19,0.37,0.19,93.0,2.5,2.41,2.01,54.5%,1,1,4,5,6,3.9,8,9.1%,45.5%,54.5%, ,,, ,11,2,78,14,31,2,8,36,0,0,18.3,0.5,0.49,4.65,9.5%,0,0,0,0,0,0, ,,, ,1,0,2,9,0,8,5,0,0,1,32,12,24,0,,, ,,0,0,0,0,0,0, ,3,0.4,1.1,1.5,0.04,0.12,15,12,-6.6,0.6,0.3,0,0.8,0.02,0.06,99,0,0,11,"Flu, Upper body","$900,000","$500,000",0.1
4,Aug 08 '87,Sicamous,BC,CAN,77,213,R,,26,CODYFRANSON,Franson,Cody,TOR,TOR,D,45,4,25,29,4,70,5.7%,845.5,18.8,1190,26.4,0.71,51,3.59,7.0%,43.9%,50.9%,#VALUE!, , ,#VALUE!,0.0,124,59,26,40,21,8.8,4.2,1.8,2.8,1.5,8,4,0,0,0,0,6.3,677.9,15.1,14.6,33.82,30.2%,1,6,9,15,16,1.42,45,2.5%,37.5%,40.0%, ,,, ,88,97,30.8%,111,107,36.3%,112,86,32.9%,45.9%,6,239,249,235,15.03810922,-0.158,8,1.788,1.831,-12.566,13.4%,.905,919,4.0%,3.65,3.01,27.21,31.87,52.15,62.47,-10.32,40,33,258,316,127,140,195,146,4.93,2.52,2.44,25.63,33.63,51.13,66.63,5.2,64,62,586,791,284,375,462,363,3,7,4,0.27,0.62,0.35,127.0,2.8,2.72,2.25,54.7%,3,1,8,10,13,6.1,6,17.6%,58.8%,76.5%, ,,, ,17,2,82,20,37,4,4,58,0,0,40.7,0.9,0.92,4.5,17.0%,0,0,0,0,0,0, ,,, ,0,2,4,31,3,8,20,1,1,0,60,19,38,1,1,0,0%,0,0,0,0,0,0,0, ,4,2.7,1.9,4.6,0.10,0.33,23.3,17.3,3.9,5.6,0.1,-0.3,5.4,0.12,0.38,99,0,0,,,"$1,200,000",$0,4.2
93,Dec 23 '79,Vetlanda,,SWE,75,223,L,,34,JOHANFRANZEN,Franzen,Johan,DET,DET,RW/C,41,14,17,31,13,116,12.1%,741.6,18.1,947,23.1,0.78,84,6.79,30.4%,37.0%,67.4%,62,30,32,48.4%,2.6,43,17,54,21,16,3.5,1.4,4.4,1.7,1.3,41,8,1,1,1,0,0.2,581.2,14.2,13.56,33.83,28.6%,8,6,3,11,19,1.96,66,32.0%,44.0%,76.0%,54,25,29,46.3%,103,103,36.7%,78,83,28.6%,99,96,34.7%,56.1%,7,199,206,156,16.04974125,0.75,6,0.386,2.29,9.17,9.1%,.952,961,4.2%,2.70,1.40,29.79,29.03,54.61,48.35,6.26,25,13,251,256,109,71,108,121,-4.09,1.56,1.86,30.45,26.86,56.62,47.93,-2.4,36,43,668,578,284,217,270,321,5,5,0,0.52,0.52,0.00,143.8,3.5,3.29,2.77,54.3%,6,3,3,6,12,5.0,18,28.6%,28.6%,57.1%,3,3,0,100.0%,21,2,103,20,59,5,2,64,1,0,16.6,0.4,0.4,4.88,7.6%,0,0,0,0,0,0,5,2,3,40.0%,0,2,2,9,2,6,4,0,0,2,50,23,16,2,1,0,0%,0,3,0,1,1,0,0, ,6,2.9,1.5,4.4,0.11,0.36,18,12.5,13.6,5.1,2,-0.3,6.9,0.17,0.56,99,0,0,7,Hip,"$3,954,545",$0,0.8
24,Jan 28 '85,Sicamous,BC,CAN,73,189,L,,28,COLINFRASER,Fraser,Colin,LAK,LAK,C,34,2,5,7,-4,19,10.5%,318.6,9.4,457,13.4,0.70,48,9.12,22.2%,55.6%,77.8%,168,78,90,46.4%,8.2,71,11,8,1,7,13.4,2.1,1.5,0.2,1.3,25,5,3,0,0,0,-0.6,294.1,8.7,8.62,39.66,17.9%,2,4,1,5,7,1.43,48,22.2%,55.6%,77.8%,160,73,87,45.6%,25,48,40.1%,21,25,25.3%,32,31,34.6%,61.3%,11,108,94,84,14.53367726,-0.887,13,-1.812,-4.772,8.752,8.3%,.891,899,-2.7%,1.84,2.66,22.31,24.36,46.68,44.63,2.05,9,13,100,106,48,57,42,71,-11.33,2.94,2.00,31.64,23.81,60.65,43.29,-15.3,66,45,645,490,315,207,231,337,4,4,0,0.82,0.82,0.00,4.0,0.1,0.12,4.73,2.5%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%,4,3,1,75.0%,0,0,6,0,0,0,0,1,0,0,20.5,0.6,0.6,4.57,11.6%,0,0,0,0,0,0,4,2,2,50.0%,0,2,2,13,2,8,9,0,0,0,9,0,15,2,,, ,,1,0,0,0,0,0, ,3,0.1,0.2,0.3,0.01,0.06,6.8,7.4,-5,-0.3,0.7,0,0.4,0.01,0.08,99,0,0,,,"$825,000",$0,-0.2
25,Sep 29 '86,Ottawa,ON,CAN,76,220,L,,27,MARKFRASER,Fraser,Mark,TOR,TOR,D,45,0,8,8,18,33,0.0%,763.1,17.0,1121,24.9,0.68,48,3.74,0.0%,18.2%,18.2%,#VALUE!, , ,#VALUE!,0.0,153,102,17,26,13,12.0,8.0,1.3,2.0,1.0,85,15,9,0,1,0,-4.3,670.4,14.9,14.78,33.62,30.5%,0,7,1,8,8,0.72,48,0.0%,18.2%,18.2%, ,,, ,72,79,26.9%,111,107,38.9%,116,76,34.2%,40.9%,2,244,267,230,15.02146934,-0.001,6,1.903,2.082,-12.329,14.7%,.926,941,7.3%,3.97,2.35,26.97,31.75,51.96,64.14,-12.18,44,26,255,326,118,153,206,159,4.14,2.26,2.82,24.87,34.03,51.08,66.23,3.0,57,71,570,787,305,361,451,356,12,4,-8,1.07,0.36,-0.72,2.0,0.0,0.04,4.85,0.8%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%, ,,, ,0,0,1,0,2,0,0,1,0,0,90.8,2.0,1.97,3.47,36.2%,0,0,0,0,0,0, ,,, ,0,5,7,49,4,30,49,4,0,0,46,0,34,6,,, ,,0,0,0,0,0,0, ,4,0.0,2.9,2.9,0.06,0.23,13.9,19.4,15.3,-0.3,4,0,3.7,0.08,0.29,99,0,0,,,"$600,000",$0,3.5
